County NS Code,County,2010,2015,2020,2025,2030
1419964,Aleutians East,3141,3183,3210,3226,3229
1419965,Aleutians West,5571,5538,5485,5401,5291
1416061,Anchorage,293237,311311,328097,343086,356480
1419966,Bethel,17144,18055,19059,20084,21193
1419967,Bristol Bay,1002,968,936,897,851
1419988,Denali,1826,1796,1752,1706,1654
1419968,Dillingham,4874,4930,5016,5085,5126
1419969,Fairbanks North Star,98000,105928,113275,119910,126067
1419970,Haines,2535,2598,2639,2663,2646
2371430,Hoonah-Angoon,2150,1988,1828,1669,1518
1419971,Juneau,31538,32040,32381,32485,32379
1419972,Kenai Peninsula,55712,59073,62174,64761,66700
1419973,Ketchikan Gateway,13536,13489,13365,13144,12841
1419974,Kodiak Island,13655,13718,13739,13699,13593
1419985,Kusilvak,7512,7996,8606,9241,9909
1419975,Lake And Peninsula,1647,1622,1601,1575,1540
1419976,Matanuska-Susitna,89721,103070,117222,131764,146328
1419977,Nome,9556,9964,10369,10774,11220
1419978,North Slope,9478,9475,9447,9373,9348
1419979,Northwest Arctic,7563,7864,8185,8516,8865
2516404,Petersburg,3847,3736,3615,3486,3335
1419980,Prince of Wales-Hyder,5625,5409,5182,4947,4704
1419981,Sitka,8913,9002,9026,8974,8875
2339479,Skagway,968,1018,1064,1100,1111
1419983,Southeast Fairbanks,7055,7635,8141,8529,8817
1419984,Valdez-Cordova,9684,9547,9395,9180,8914
2516402,Wrangell,2375,2351,2317,2272,2220
1419986,Yakutat,662,652,635,616,593
1419987,Yukon-Koyukuk,5615,5288,5001,4736,4476
