County NS Code,County,2010,2015,2020,2025,2030,2035
161526,Autauga,54750,54838,56705,58464,60327,62488
161527,Baldwin,183110,202863,222554,242345,261777,281200
161528,Barbour,27332,26264,25633,24891,24288,23902
161529,Bibb,22872,22561,22354,22174,22023,21932
161530,Blount,57381,57590,58383,59154,59995,61064
161531,Bullock,10880,10419,10637,10528,10414,10331
161532,Butler,20944,20141,19690,19233,18909,18706
161533,Calhoun,118466,115505,114221,113195,112529,112025
161534,Chambers,34122,33968,33918,33709,33485,33313
161535,Cherokee,25973,25741,25835,25778,25709,25637
161536,Chilton,43661,43706,44308,44793,45388,46119
161537,Choctaw,13849,13231,12475,11786,11167,10639
161538,Clarke,25765,24708,23759,22867,21995,21169
161539,Clay,13900,13414,13233,12928,12639,12374
161540,Cleburne,15004,14922,15104,15187,15278,15374
161541,Coffee,50203,50974,52318,53663,55104,56661
161542,Colbert,54525,54358,54281,54026,53707,53315
161543,Conecuh,13229,12678,12157,11647,11195,10802
161544,Coosa,11782,10923,10193,9717,9281,8883
161545,Covington,37811,37550,37925,37994,38044,38083
161546,Crenshaw,13875,13851,14017,14081,14150,14230
161547,Cullman,80466,81721,82904,83897,84776,85636
161548,Dale,50392,49344,48938,48411,48022,47871
161549,Dallas,43863,40939,39219,37762,36743,36054
161550,DeKalb,71169,71198,71629,72394,73615,75364
161551,Elmore,79581,80912,83991,86641,89231,91708
161552,Escambia,38346,37667,37284,36830,36421,36110
161553,Etowah,104457,102942,102137,101245,100612,100280
161554,Fayette,17231,16688,16214,15698,15207,14774
161555,Franklin,31749,31467,31633,31614,31604,31614
161556,Geneva,26783,26639,26894,27109,27361,27672
161557,Greene,8997,8510,7984,7601,7326,7112
161558,Hale,15745,15018,14509,14047,13600,13161
161559,Henry,17297,17102,17296,17443,17597,17776
161560,Houston,101790,104249,107353,110561,113789,117189
161561,Jackson,53184,52207,51736,51057,50424,49836
161562,Jefferson,658048,660087,662458,663999,665244,666345
161563,Lamar,14494,13931,13265,12672,12086,11526
161564,Lauderdale,92735,92422,92757,92914,93309,93804
161565,Lawrence,34343,33137,32260,31523,30914,30458
161566,Lee,140806,156740,169234,180742,191587,201732
161567,Limestone,83177,91633,99775,108021,116015,122976
161568,Lowndes,11282,10345,9667,9048,8559,8242
161569,Macon,21506,19304,17617,17111,16773,16492
161570,Madison,336102,352740,372447,392382,412126,431697
161572,Marengo,20944,19757,19162,18647,18213,17877
161573,Marion,30816,30116,29604,28956,28274,27671
161574,Marshall,93129,94577,96219,98049,100136,102494
161575,Mobile,413320,414588,416420,419698,423249,427345
161576,Monroe,23010,21720,20552,19800,19163,18558
161577,Montgomery,229515,227002,226832,227480,228160,228882
161578,Morgan,119606,119199,119865,120464,121344,122557
161579,Perry,10567,9653,8875,8343,7925,7642
161580,Pickens,19749,20776,20743,20535,20289,19985
161581,Pike,32967,33372,33231,33598,34276,35029
161582,Randolph,22935,22588,22483,22370,22303,22281
161583,Russell,53309,58847,61932,64037,66162,68385
164997,St. Clair,83814,86758,90634,94713,100206,106219
161584,Shelby,196017,208877,224628,239859,253485,265330
161585,Sumter,13730,13174,12588,12147,11727,11320
161586,Talladega,82107,81047,79964,79164,78524,78012
161587,Tallapoosa,41477,40617,40213,39690,39214,38794
161588,Tuscaloosa,194993,204473,212769,221743,230259,238579
161589,Walker,66998,64939,64532,64080,63759,63568
161590,Washington,17629,16812,16268,15827,15436,15100
161591,Wilcox,11562,10901,10450,9868,9400,9025
161592,Winston,24408,23918,23388,22920,22531,22198
