County NS Code,County,2010,2015,2020,2025,2030
63755,Arkansas,18977,18546,17962,17396,16848
63756,Ashley,21764,20994,20292,19614,18939
69895,Baxter,41606,40741,40296,39815,39340
69896,Benton,223016,246965,272938,301945,333701
69897,Boone,36717,37534,37911,38292,38677
63757,Bradley,11441,11059,10604,10168,9750
63758,Calhoun,5399,5193,5080,4969,4861
66975,Carroll,27474,28141,29028,29912,30853
69160,Chicot,11638,11070,10425,9818,9246
66845,Clark,23110,22743,22743,22743,22743
63759,Clay,15931,15139,14472,13849,13253
66983,Cleburne,26082,25463,24959,24441,23933
63760,Cleveland,8647,8596,8596,8596,8596
63761,Columbia,24563,24029,23671,23342,22994
66846,Conway,21333,21354,21655,21939,22248
66847,Craighead,97636,104611,112758,121662,131137
69161,Crawford,62255,61206,60114,58983,57873
69162,Crittenden,50919,49762,49762,49762,49762
66848,Cross,17819,17309,16731,16171,15631
66849,Dallas,8095,7817,7533,7252,6988
66850,Desha,12900,12210,11522,10862,10250
66851,Drew,18490,18788,18788,18788,18788
66852,Faulkner,113323,122149,128027,134054,140505
66853,Franklin,18070,18070,18160,18270,18361
66854,Fulton,12247,12345,12432,12531,12632
66855,Garland,96278,97734,99211,100710,102232
66856,Grant,17890,18106,18306,18490,18695
66857,Greene,42150,43347,44046,44712,45388
66858,Hempstead,22607,22471,22471,22471,22471
66859,Hot Spring,32925,33793,34510,35242,35990
66872,Howard,13739,13575,13575,13575,13575
69163,Independence,36498,37421,38561,39696,40905
66860,Izard,13725,13121,12481,11873,11294
66861,Jackson,17854,17431,16984,16564,16139
66862,Jefferson,77111,70969,65710,60901,56387
66863,Johnson,25514,25926,26108,26291,26476
66864,Lafayette,7578,7080,6614,6180,5768
66865,Lawrence,17344,17014,17026,17038,17050
66866,Lee,10311,9750,9127,8536,7990
66873,Lincoln,14186,14031,14031,14031,14031
66874,Little River,13174,12683,12494,12308,12125
82850,Logan,22382,21960,21655,21333,21036
69164,Lonoke,69010,72186,75887,79858,83952
69165,Madison,15820,15772,15979,16171,16367
69898,Marion,16631,16220,15615,15018,14458
69166,Miller,43478,43739,44623,45479,46397
69899,Mississippi,46490,44046,42319,40619,39027
69167,Monroe,8079,7369,6621,5949,5351
69168,Montgomery,9490,9072,8708,8358,8014
69169,Nevada,8991,8673,8375,8087,7809
69900,Newton,8308,8072,8081,8095,8108
69170,Ouachita,25822,24343,22788,21311,19930
69171,Perry,10446,10342,10342,10342,10342
69172,Phillips,21569,19575,17677,15963,14415
69173,Pike,11249,11114,10938,10764,10594
69174,Poinsett,24563,23909,23318,22743,22181
69175,Polk,20682,20313,20050,19811,19575
69901,Pope,62193,63513,66039,68665,71325
69176,Prairie,8673,8185,7723,7288,6884
69177,Pulaski,382315,396329,409626,423793,438011
69178,Randolph,17926,17536,17035,16548,16075
83331,St. Francis,28396,26423,24441,22584,20889
67102,Saline,108228,119372,132720,147561,163898
69179,Scott,11092,10949,10949,10949,10949
69180,Searcy,8144,7974,7856,7731,7616
69181,Sebastian,126374,128669,132058,135673,139246
69182,Sevier,17001,17624,18288,18977,19712
69183,Sharp,17327,16916,16581,16269,15947
69902,Stone,12469,12810,13386,13989,14618
69903,Union,41606,40055,38600,37160,35775
69904,Van Buren,17361,16681,16075,15491,14928
69905,Washington,202400,226387,253723,284077,318380
69906,White,77575,78669,78433,78120,77886
69907,Woodruff,7180,6877,6425,5997,5603
69908,Yell,22359,21873,21807,21742,21699
