County NS Code,County,2010,2015,2020,2025,2030
25441,Apache,71685,72215,73600,73600,72100
25442,Cochise,131436,129112,131300,131100,130900
25443,Coconino,134679,141602,148400,154400,157800
40471,Gila,53565,54406,55100,55400,55400
25444,Graham,37299,38475,38600,40400,42100
42807,Greenlee,8440,10555,10700,11000,11400
43540,La Paz,20495,21183,22000,22000,21900
37026,Maricopa,3824058,4076438,4436900,4780600,5107700
25445,Mohave,200099,205716,218300,230500,242700
42808,Navajo,107677,109671,114300,116400,117900
25446,Pima,981168,1009371,1050900,1091600,1129200
25447,Pinal,376369,406468,466200,535000,616200
40472,Santa Cruz,47539,50270,53700,56600,59200
42809,Yavapai,210899,217778,234400,245900,256400
23901,Yuma,196160,214991,231800,247700,263800
