County NS Code,County,2010,2015,2020,2025,2030
1675839,Alameda,1515326,1621715,1696752,1779202,1861027
1675840,Alpine,1175,1154,1152,1181,1209
1675841,Amador,37632,36395,38511,39822,41041
1675842,Butte,220202,224533,230282,237844,246880
1675885,Calaveras,45542,44907,44866,45782,46855
1675902,Colusa,21465,22299,23048,23842,24641
1675903,Contra Costa,1051654,1118276,1171305,1234323,1296786
1682074,Del Norte,28391,27125,27327,27541,27829
277273,El Dorado,181014,183358,191581,199521,208457
277274,Fresno,932508,980216,1032052,1086466,1142991
277275,Glenn,28188,28965,29585,30386,31304
1681908,Humboldt,135000,135175,136621,138199,139393
277277,Imperial,175195,185048,193458,203962,215196
1804637,Inyo,18547,18635,18550,18629,18736
2054176,Kern,841576,883799,928308,991224,1062325
277280,Kings,152166,149906,156711,164632,172768
277281,Lake,64954,64859,65361,66253,67513
1693324,Lassen,34790,30987,30561,30427,30129
277283,Los Angeles,9838592,10181066,10369367,10575740,10759850
277284,Madera,150144,154704,162293,173508,185579
277285,Marin,252290,261641,263085,265334,267912
277286,Mariposa,18245,18086,17947,18112,18376
277287,Mendocino,87674,88315,89778,91502,92995
277288,Merced,256813,269917,288021,307356,328002
277289,Modoc,9688,9542,9541,9588,9546
277290,Mono,14025,13888,14046,14448,14767
277291,Monterey,414945,435343,451001,467924,483740
277292,Napa,136295,141243,141701,145085,149289
1682927,Nevada,98531,98211,99578,102163,105214
277294,Orange,3014684,3164230,3257087,3349664,3431096
277295,Placer,350059,371548,399388,427351,456175
277296,Plumas,19982,19632,19480,19395,19217
277297,Riverside,2196103,2334159,2493116,2673924,2843493
277298,Sacramento,1421459,1490025,1572195,1665598,1758565
277299,San Benito,55467,58673,62346,65507,69120
277300,San Bernardino,2043503,2130075,2223189,2343418,2468202
277301,San Diego,3101068,3275897,3390529,3503674,3608286
277302,San Francisco,809728,864942,903294,941504,976481
277303,San Joaquin,687990,728472,780750,835476,889779
277304,San Luis Obispo,269044,276859,282744,290341,296782
277305,San Mateo,720660,764850,785650,811466,833868
277306,Santa Barbara,423560,444533,459787,475197,489554
277307,Santa Clara,1790141,1919845,1996394,2093506,2194079
277308,Santa Cruz,262426,274691,278997,288239,296728
1682610,Shasta,177133,178584,179412,183502,188154
277310,Sierra,3233,3152,3142,3119,3087
277311,Siskiyou,44855,44540,44130,44320,44511
277312,Solano,412507,429477,449432,474911,499633
1657246,Sonoma,483555,501331,508017,525746,543369
277314,Stanislaus,515949,537874,567502,599243,631755
277315,Sutter,94857,97341,100345,104819,109678
1692767,Tehama,63533,64113,64994,66512,68310
277317,Trinity,13798,13556,13414,13417,13400
277318,Tulare,442337,464567,486677,511971,538641
277319,Tuolumne,55240,53531,52771,53099,53681
277320,Ventura,824437,852778,863528,886029,909779
277321,Yolo,202391,213016,227595,243237,259339
277322,Yuba,72312,74529,79001,82699,86183
