County NS Code,County,2010,2015,2020,2025,2030
198116,Adams,443709,489923,542608,599960,658864
198117,Alamosa,15454,15968,16910,17899,18894
198118,Arapahoe,574808,629065,676370,727519,779282
198119,Archuleta,12082,12416,13952,15207,16941
198120,Baca,3765,3594,3497,3380,3262
198121,Bent,6523,5847,5818,6062,6206
198122,Boulder,295610,318570,336446,356510,377107
1945881,Broomfield,56098,64656,75627,87799,96097
198123,Chaffee,17835,18603,20267,21691,23040
198124,Cheyenne,1811,1830,1850,1848,1848
198125,Clear Creek,9083,9392,9634,9886,10319
198126,Conejos,8293,8074,8089,8210,8374
198127,Costilla,3549,3572,3778,3787,3795
198128,Crowley,5850,5569,5420,5748,6128
198129,Custer,4248,4457,4755,4880,5079
198130,Delta,30897,29973,31038,32001,33417
198131,Denver,604875,680658,733765,795853,861706
198132,Dolores,2084,1972,2065,2126,2191
198133,Douglas,287119,322198,351801,382923,413162
198134,Eagle,52064,53320,57571,62628,69748
198136,Elbert,23140,24640,30248,36506,43695
198135,El Paso,627238,676178,735478,794306,855170
198137,Fremont,46856,46659,47801,48105,49354
198138,Garfield,56153,57779,64119,70421,77404
198139,Gilpin,5461,5824,6049,6145,6178
198140,Grand,14790,14602,16330,17809,19487
198141,Gunnison,15314,16097,17202,18255,19282
198142,Hinsdale,825,767,848,946,1067
198143,Huerfano,6639,6456,6614,6593,6560
198144,Jackson,1417,1353,1333,1318,1316
198145,Jefferson,535648,564619,599448,626407,647959
198146,Kiowa,1410,1396,1353,1331,1298
198147,Kit Carson,8259,8219,7705,7894,8169
198149,Lake,7288,7502,7777,8133,8536
198148,La Plata,51443,54857,60917,67282,73266
198150,Larimer,300545,332830,363216,395294,426293
198151,Las Animas,15383,14061,14049,14030,13937
198152,Lincoln,5502,5549,5831,6232,6673
198153,Logan,22291,22122,23080,24286,25438
198154,Mesa,146587,149023,156922,166473,181209
198155,Mineral,728,729,763,814,846
198156,Moffat,13812,12884,13191,13276,13389
198157,Montezuma,25515,26129,29088,31995,35043
198158,Montrose,41179,40795,44144,47649,53355
198159,Morgan,28213,28230,29286,30733,32631
198160,Otero,18875,18265,18374,18131,17566
198161,Ouray,4471,4647,5094,5169,5210
198162,Park,16277,16716,18551,20021,21834
198163,Phillips,4467,4307,4287,4323,4336
198164,Pitkin,17147,17845,18562,19297,20218
198165,Prowers,12527,11905,11955,11941,11865
198166,Pueblo,159464,163196,172529,181329,191163
198167,Rio Blanco,6634,6529,6551,6628,6763
198168,Rio Grande,12018,11413,11444,11411,11440
198169,Routt,23451,24310,26461,29190,32916
198170,Saguache,6101,6219,6603,6668,6672
198171,San Juan,713,696,720,738,746
198172,San Miguel,7393,7843,9050,10391,11742
198173,Sedgwick,2403,2389,2381,2363,2340
198174,Summit,28078,29928,32760,35983,39540
198175,Teller,23402,23431,26121,27970,29228
198176,Washington,4851,4834,4949,5031,5104
198177,Weld,254240,284571,336437,395972,459772
198178,Yuma,10030,10052,10311,10535,10721
