County NS Code,County,2010,2015,2020,2025,2030
308548,Alachua,247336,258578.0,269820,281524,291585
306920,Baker,27115,27817.0,28519,29899,31066
295738,Bay,168852,172054.0,175256,185656,193714
303634,Bradford,28520,28658.0,28796,29237,29547
295749,Brevard,543376,572884.0,602392,637630,665047
295753,Broward,1748066,1844640.5,1941215,2038988,2115161
306919,Calhoun,14625,14745.0,14865,15435,15847
295742,Charlotte,159978,172351.5,184725,198068,208715
295752,Citrus,141236,145317.0,149398,157062,163569
295726,Clay,190865,204950.0,219035,236825,252539
295754,Collier,321520,353084.5,384649,421224,451668
306909,Columbia,67531,69038.5,70546,73513,75999
294452,Desoto,34862,35597.0,36332,37454,38301
295725,Dixie,16422,16559.0,16696,16864,16979
293656,Duval,864263,924861.5,985460,1051924,1104283
295737,Escambia,297619,310808.5,323998,336434,345798
308547,Flagler,95696,104547.0,113398,126490,138283
306911,Franklin,11549,11881.0,12213,12541,12821
306918,Gadsden,46389,46350.0,46311,46990,47101
303633,Gilchrist,16939,17459.0,17979,18934,19733
295743,Glades,12884,13049.5,13215,13515,13749
306917,Gulf,15863,15275.5,14688,15252,15688
295736,Hamilton,14799,14704.5,14610,14760,14851
295746,Hardee,27731,27649.0,27567,27639,27709
307626,Hendry,39140,39824.5,40509,42217,43516
295751,Hernando,172778,182117.0,191456,206124,218865
295756,Highlands,98786,101495.0,104204,107806,110760
295757,Hillsborough,1229226,1351770.0,1474314,1611303,1721619
295735,Holmes,19927,20052.0,20177,20312,20368
307624,Indian River,138028,147824.5,157621,169963,180225
295734,Jackson,49746,48447.0,47148,47599,47764
295733,Jefferson,14761,14789.0,14817,15098,15300
295732,Lafayette,8870,8785.5,8701,9094,9426
308551,Lake,297052,331833.5,366615,410873,450305
295758,Lee,618754,685765.0,752776,835496,904654
306916,Leon,275487,287625.5,299764,314870,327541
295724,Levy,40801,41189.5,41578,42701,43603
308549,Liberty,8365,8561.5,8758,9072,9378
295731,Madison,19224,19233.5,19243,19465,19662
295744,Manatee,322833,359311.0,395789,434554,466461
306922,Marion,331298,348619.5,365941,392054,414783
308550,Martin,146318,153443.5,160569,169531,176881
295755,Miami-Dade,2496435,2673184.5,2849934,3022609,3167897
295759,Monroe,73090,74678.0,76266,76542,76827
295730,Nassau,73314,80131.5,86949,95757,103129
306915,Okaloosa,180822,192312.5,203803,214262,223300
295760,Okeechobee,39996,41059.0,42122,43428,44419
295750,Orange,1145956,1282441.5,1418927,1573001,1696818
295748,Osceola,268685,326725.5,384766,452077,510236
295761,Palm Beach,1320134,1392984.5,1465835,1547210,1616487
295739,Pasco,464697,501014.5,537332,586071,626839
295745,Pinellas,916542,950733.5,984925,1014418,1035645
295747,Polk,602095,653083.5,704072,766442,816987
306910,Putnam,74364,73854.0,73344,73558,73707
308371,St. Johns,190039,226946.5,263854,309326,347596
308372,St. Lucie,277789,296512.5,315236,342908,367455
306914,Santa Rosa,151372,167082.0,182792,199617,213392
295741,Sarasota,379448,406359.5,433271,464901,489585
303665,Seminole,422718,450770.5,478823,510710,535588
295740,Sumter,93420,112864.0,132308,152344,170791
295729,Suwannee,41551,43729.5,45908,48310,50364
295728,Taylor,22570,22598.5,22627,23168,23602
306913,Union,15535,15511.5,15488,15581,15633
306921,Volusia,494593,519888.0,545183,573761,595785
306912,Wakulla,30776,32032.5,33289,35391,37157
295727,Walton,55043,63548.0,72053,81548,89558
295762,Washington,24896,25056.0,25216,25940,26517
