County NS Code,County,2010,2015,2020,2025,2030,2035
1694833,Fulton,925632,1005127,1072696,1145768,1216292,1275753
1688166,Gwinnett,808007,888494,949438,1029880,1111684,1187317
352234,DeKalb,692443,734434,770800,826794,871576,904636
1686112,Cobb,689495,739052,766481,812725,855869,894274
1694477,Chatham,265799,285959,290550,303392,315524,326179
1672399,Clayton,259877,272720,301087,338797,372121,404981
1685718,Cherokee,215197,235329,260189,271775,283999,295285
1671894,Henry,205039,216414,238285,260832,283152,305142
358024,Richmond,201115,201451,202570,206609,210374,212605
357428,Muscogee,191101,198702,194072,190517,186573,181252
1686953,Hall,180033,192245,206600,222479,237080,250615
1673358,Forsyth,176723,211250,250298,285085,334204,370217
1672039,Bibb,155814,153945,152549,153427,154033,153550
349912,Paulding,142837,151649,172105,191401,217702,240074
1671693,Houston,140651,149323,159117,167781,176455,184458
1686467,Douglas,132573,140173,147529,155878,163785,170793
326666,Coweta,127937,138145,150869,165820,181836,197043
348865,Columbia,124955,143837,159405,176146,192137,207330
1672699,Clarke,117403,123561,128912,135611,142908,150206
326650,Carroll,110655,114461,120877,127585,134178,139954
326720,Lowndes,109689,113342,118075,123680,129258,133913
1687740,Fayette,106938,110141,115320,124021,133022,140633
353513,Whitfield,102745,103669,104644,107530,110118,112052
1673547,Newton,100133,104884,113253,121978,134104,141501
351604,Bartow,100050,102043,108774,116567,123958,130223
353665,Floyd,96431,96186,98410,101079,103379,105258
351259,Dougherty,94513,91513,87352,84664,82834,79862
357592,Rockdale,85354,88354,91437,96125,100859,104567
351264,Walton,83992,88333,96335,106021,118235,125822
1671513,Glynn,79744,83311,86002,90306,96110,96153
350302,Bulloch,70559,73116,80592,87076,93233,99411
356976,Barrow,69676,74979,85056,95915,107721,119727
354216,Walker,68870,68537,69734,71924,74550,76940
1673298,Troup,67054,69595,69579,70082,70474,70265
353055,Spalding,64096,63818,67085,70646,73757,76430
353230,Catoosa,64069,65778,67812,70633,73260,75785
357095,Liberty,62765,61611,61771,62501,62286,61874
349570,Jackson,60696,63418,75351,88231,103969,115227
356672,Gordon,55257,56324,58133,59980,61804,63441
350219,Effingham,52464,57076,65869,74425,85054,93445
1671316,Camden,50661,52439,54975,57255,59056,60640
346568,Laurens,48384,47486,47412,47317,47405,47283
345255,Baldwin,45704,45549,44617,44384,44307,43856
343936,Colquitt,45634,45466,45562,45691,46745,46624
343835,Thomas,44747,44796,44442,44471,44532,44403
351383,Habersham,43061,43792,45721,47431,49137,50758
347456,Coffee,42728,42987,43190,43533,43669,43333
343585,Polk,41547,41207,42577,43376,44114,44501
344090,Tift,40251,40536,40750,41495,42279,41745
1688005,Murray,39533,39430,40320,41764,44099,44808
357722,Ware,36308,35327,35452,35476,35527,35181
356774,Oconee,32925,35853,41334,47213,54835,59652
343504,Sumter,32684,30696,29110,27767,26633,25364
326700,Harris,32149,33155,35561,38309,41292,44137
350496,Bryan,30377,34792,40443,44962,51025,56036
