County NS Code,County,2010,2015,2020,2025,2030
465190,Adair,7538,7628,7732,7843,7957
465191,Adams,4019,3973,3934,3899,3865
465192,Allamakee,14593,14747,14927,15121,15319
465193,Appanoose,12793,12668,12567,12478,12393
465194,Audubon,6013,5971,5940,5915,5891
465195,Benton,26715,27205,27744,28308,28881
465196,Black Hawk,128968,130684,132638,134717,136837
465197,Boone,26364,26436,26557,26704,26859
465198,Bremer,23830,24209,24633,25080,25534
465199,Buchanan,21091,21267,21481,21716,21957
465200,Buena Vista,19664,19596,19565,19552,19546
465201,Butler,14631,14617,14630,14657,14687
465202,Calhoun,9820,9666,9532,9406,9283
465203,Carroll,20982,21150,21357,21584,21819
465204,Cass,13741,13513,13311,13123,12938
465205,Cedar,18070,18071,18106,18157,18213
465206,Cerro Gordo,44045,44748,45532,46358,47200
465207,Cherokee,11495,11368,11263,11168,11077
465208,Chickasaw,12096,12048,12024,12010,12000
465209,Clarke,9136,9406,9694,9990,10290
465625,Clay,16705,16763,16852,16957,17067
465210,Clayton,17530,17464,17428,17408,17391
465211,Clinton,48829,48612,48486,48406,48340
465212,Crawford,16371,16282,16224,16181,16144
465213,Dallas,62179,67861,73650,79504,85386
465214,Davis,8575,8603,8647,8698,8753
465215,Decatur,8370,8283,8212,8149,8088
465216,Delaware,17257,17168,17110,17067,17028
465217,Des Moines,40356,39732,39184,38674,38176
465218,Dickinson,16978,17507,18066,18643,19225
465219,Dubuque,93303,94864,96593,98407,100248
465220,Emmet,10373,10179,10004,9839,9677
465221,Fayette,20169,19938,19744,19568,19397
465222,Floyd,16132,16025,15948,15886,15829
465223,Franklin,10412,10263,10134,10015,9899
465224,Fremont,7444,7449,7468,7494,7522
465225,Greene,9219,9048,8894,8748,8606
465226,Grundy,12279,12534,12812,13101,13395
465227,Guthrie,10922,10853,10804,10765,10730
465228,Hamilton,15277,15097,14946,14810,14678
465229,Hancock,11379,11458,11557,11667,11781
465230,Hardin,17259,17002,16778,16570,16367
465231,Harrison,15343,15665,16016,16382,16753
465232,Henry,20195,20177,20197,20237,20282
465233,Howard,9559,9757,9973,10199,10427
465234,Humboldt,9491,9446,9420,9402,9387
465235,Ida,6877,6922,6980,7045,7113
465236,Iowa,15898,15971,16073,16190,16312
465237,Jackson,19936,19889,19877,19883,19893
465238,Jasper,36636,36817,37067,37351,37648
465239,Jefferson,15504,15627,15779,15946,16117
465240,Johnson,133071,145645,158456,171417,184445
465241,Jones,20360,20421,20520,20638,20761
465242,Keokuk,10608,10402,10215,10037,9861
465243,Kossuth,15417,15323,15258,15207,15160
465244,Lee,35132,34493,33921,33381,32853
465245,Linn,212543,222706,233256,244022,254872
465246,Louisa,11757,11851,11968,12095,12225
465247,Lucas,9263,9209,9172,9143,9118
465248,Lyon,11198,11124,11072,11031,10994
465249,Madison,15739,16337,16964,17607,18255
465250,Mahaska,22326,22367,22451,22555,22667
465251,Marion,32909,33793,34737,35714,36703
465252,Marshall,39582,39780,40053,40363,40687
465253,Mills,15341,15929,16545,17176,17813
465254,Mitchell,10740,10830,10939,11059,11182
465255,Monona,8913,8794,8691,8596,8504
465256,Monroe,7532,7430,7342,7262,7183
465257,Montgomery,10810,10674,10559,10454,10353
465258,Muscatine,42760,43453,44225,45037,45863
465259,'O''Brien',13887,13743,13625,13520,13418
465260,Osceola,6413,6344,6286,6235,6185
465261,Page,15577,15381,15215,15063,14916
465262,Palo Alto,9258,9054,8868,8690,8515
465264,Plymouth,24416,24679,24988,25320,25660
465264,Pocahontas,7463,7230,7012,6801,6592
465265,Polk,434416,458980,484323,510106,536062
465266,Pottawattamie,89645,89761,90046,90417,90817
465267,Poweshiek,18658,18853,19083,19331,19585
465268,Ringgold,5123,5047,4981,4920,4861
465269,Sac,10200,9938,9696,9463,9233
465270,Scott,166229,170278,174631,179145,183715
465271,Shelby,12043,11841,11662,11494,11329
465272,Sioux,32461,33154,33907,34691,35487
465273,Story,88310,92300,96451,100689,104962
465274,Tama,17643,17550,17489,17446,17408
465275,Taylor,6235,6088,5952,5822,5694
465276,Union,12219,12129,12063,12009,11958
465277,Van Buren,7655,7612,7585,7564,7545
465278,Wapello,35328,34913,34566,34251,33948
465279,Warren,46143,48901,51742,54630,57536
465280,Washington,21459,21775,22130,22506,22889
465281,Wayne,6202,6084,5978,5878,5780
465282,Webster,38274,37719,37238,36793,36358
465283,Winnebago,10878,10834,10810,10796,10786
465284,Winneshiek,20992,21215,21477,21759,22047
465285,Woodbury,102736,103311,104078,104941,105835
465286,Worth,7641,7601,7575,7557,7540
465287,Wright,12800,12560,12346,12142,11943
