County NS Code,County,2010,2015,2020,2025,2030
395066,Ada,392365,433047,474467,513622,552777
395067,Adams,3976,3889,4042,4222,4402
395091,Bannock,82839,84216,85932,87905,89878
395090,Bear Lake,5986,5879,5968,5992,6016
395190,Benewah,9285,8990,9168,9255,9342
400593,Bingham,45607,45066,45290,45372,45453
395696,Blaine,21378,21642,22422,23227,24032
395157,Boise,7028,6961,7537,8043,8549
395158,Bonner,40877,41587,44355,46589,48822
395407,Bonneville,104304,109924,118241,126196,134151
395159,Boundary,10972,11276,12561,13666,14771
401703,Butte,2893,2567,2407,2284,2160
399408,Camas,1117,1070,1096,1126,1156
399406,Canyon,188923,206894,226729,246495,266261
395406,Caribou,6963,6771,6952,7030,7107
395698,Cassia,22958,23500,23788,24141,24493
399755,Clark,982,887,876,897.5,919
395697,Clearwater,8761,8562,8354,8177,7999
399758,Custer,4366,4059,3940,3743,3545
400252,Elmore,27038,25796,25866,25643,25419
395585,Franklin,12786,12954,14121,15055,15989
395408,Fremont,13242,12811,13045,13169,13292
395442,Gem,16719,16680,17769,18488,19207
395441,Gooding,15464,15212,15410,15693,15975
395699,Idaho,16267,16296,16173,16184,16194
399751,Jefferson,26140,27129,29161,30926,32690
395662,Jerome,22374,23006,23711,24656,25601
395661,Kootenai,138494,149395,164808,178093,191378
395613,Latah,37244,38796,40410,41970,43530
399754,Lemhi,7936,7736,7709,7686,7663
395622,Lewis,3821,3795,3913,3987,4061
395624,Lincoln,5206,5303,5260,5241,5222
394803,Madison,37536,37983,41389,44840,48290
394807,Minidoka,20063,20451,21107,21738,22369
399394,Nez Perce,39265,39996,40917,41568,42219
399759,Oneida,4286,4249,4434,4548,4661
399760,Owyhee,11526,11292,11453,11528,11603
394896,Payette,22623,22793,23582,24280,24977
394951,Power,7817,7700,7672,7689,7706
1702379,Shoshone,12765,12456,12194,11863,11531
399297,Teton,10170,10732,11805,12940,14075
399334,Twin Falls,77230,82230,87711,93080,98449
399756,Valley,9862,10046,11418,12571,13723
399757,Washington,10198,9899,10385,10646,10906
