County NS Code,County,2010,2015,2020,2025,2030
424202,Adams,70212,73370,76273,77159,78397
424203,Alexander,9501,9627,9933,10278,10464
424204,Bond,17804,18386,19154,19718,20064
424205,Boone,45484,46773,48540,50807,52161
424206,Brown,7015,7191,7404,7560,7689
424207,Bureau,36427,37426,38631,39795,40820
424208,Calhoun,5018,5127,5260,5397,5572
424209,Carroll,16368,16610,17003,17384,17729
424210,Cass,14722,15154,15538,15750,16064
424211,Champaign,194234,201770,209833,215425,216958
424212,Christian,38094,38708,40053,40422,40601
424213,Clark,18612,19272,19791,20080,20398
424214,Clay,14827,15218,15537,15670,15927
424215,Clinton,40058,41359,43075,44451,44621
424216,Coles,54878,56317,58030,59345,59746
1784766,Cook,5472429,5562950,5707832,5835948,5990243
424218,Crawford,21363,21977,22407,22488,22683
424219,Cumberland,11687,12006,12475,12909,13182
422190,DeKalb,101735,108233,114992,120664,124200
426598,De Witt,17885,18406,18914,19330,19768
424222,Douglas,21823,22750,23495,23883,24607
422191,DuPage,948549,958778,1010323,1026713,1034039
424224,Edgar,19363,19417,19632,19630,19811
424225,Edwards,7219,7400,7514,7552,7760
424226,Effingham,38374,40335,42191,43720,44752
424227,Fayette,21865,22061,22319,22473,22570
424228,Ford,14706,15108,15530,15743,16015
424229,Franklin,41148,42905,44535,45807,46739
424230,Fulton,38140,38822,39621,40193,40946
424231,Gallatin,6421,6429,6414,6406,6554
424232,Greene,14641,14735,14872,14859,14958
424233,Grundy,41650,43839,46454,49176,50414
424234,Hamilton,8931,9163,9374,9543,9751
424235,Hancock,21662,22346,22692,22159,22454
424236,Hardin,4805,4951,5167,5421,5570
424237,Henderson,8337,8559,8884,9256,9527
424238,Henry,50707,51525,52418,53221,54321
424239,Iroquois,32524,33486,34609,35608,36304
424240,Jackson,61574,62561,63719,64295,63825
424241,Jasper,10080,10101,10199,10280,10403
424242,Jefferson,40772,42036,43792,45527,46800
424243,Jersey,24334,26129,28280,30202,31071
424244,Jo Daviess,25472,26721,27932,28943,29574
424245,Johnson,13965,14735,15414,16176,16859
424246,Kane,516914,572277,630563,668645,679403
424247,Kankakee,110659,114547,119655,124378,126509
424248,Kendall,68588,73748,78694,83471,85060
424249,Knox,55666,56493,57732,58863,60122
1784796,Lake,762918,794851,820250,863245,873024
422247,LaSalle,118385,124277,131155,137954,141615
424252,Lawrence,15351,15466,15675,15715,15915
424253,Lee,36554,37222,37939,38340,38923
424254,Livingston,40838,42028,43199,44289,45162
424255,Logan,31353,31766,32164,32358,32715
1784729,McDonough,33710,34346,35147,35704,35716
1784815,McHenry,337034,377315,407931,434286,443398
1784833,McLean,168611,177700,187086,194836,199102
424256,Macon,111957,113207,115797,117836,119693
424257,Macoupin,51161,53426,55948,58148,59442
424258,Madison,267588,276185,285586,291825,296342
424259,Marion,43324,44523,45651,46255,47285
424260,Marshall,13370,13633,14024,14185,14340
424261,Mason,16615,17080,17312,17178,17147
1784730,Massac,17164,17439,17820,18165,18649
424266,Menard,13598,14153,14740,15084,15195
1784750,Mercer,17586,17943,18384,18703,18924
1784865,Monroe,32920,35692,38754,41884,43111
1784866,Montgomery,30729,31171,31744,32349,33124
424270,Morgan,37696,38624,39474,39909,40429
1784885,Moultrie,15770,16370,16911,17233,17588
1784894,Ogle,54704,56627,59230,62016,63765
1784920,Peoria,187876,190903,194083,195266,193314
1784940,Perry,23065,23401,23913,24445,24913
424275,Piatt,17023,17396,17748,17897,18034
1784941,Pike,17221,17603,18123,18624,19138
424277,Pope,4774,4949,5106,5226,5245
1784966,Pulaski,7437,7608,7891,8069,8075
424279,Putnam,6221,6361,6526,6652,6758
1784967,Randolph,34432,35090,35743,36260,37004
424281,Richland,16401,16789,17169,17533,17867
424282,Rock Island,151651,153296,154941,154846,152171
424283,Saline,27477,27885,28356,28739,29195
1785010,Sangamon,195115,202158,210672,217252,222367
1785037,Schuyler,7442,7496,7528,7479,7482
424286,Scott,5847,5975,6039,6041,6060
1785051,Shelby,23274,23633,24116,24230,24471
1784987,St. Clair,254235,253993,253924,250921,243453
424288,Stark,6455,6596,6805,6995,7225
1785076,Stephenson,47812,48136,49268,50553,51737
1785094,Tazewell,139616,146850,154567,161456,165373
1785113,Union,18809,19488,20454,21248,21617
1785114,Vermilion,78181,77295,77363,78182,80137
424293,Wabash,12699,12892,13212,13434,13643
1785134,Warren,20113,21008,21864,22229,22431
1785150,Washington,15805,16234,16534,16551,16793
424296,Wayne,16635,16579,16581,16503,16690
424297,White,16019,16402,16816,17028,17189
1785167,Whiteside,62431,63927,65565,66748,68134
1785190,Will,706639,808846,907625,999824,1093207
1785215,Williamson,65497,68791,72441,75763,77760
1785216,Winnebago,307349,320683,337049,352965,359900
1785231,Woodford,39362,41551,43845,45789,46857
