County NS Code,County,2010,2015,2020,2025,2030
450401,Adams,34451,34954,35508,36078,36537
450402,Allen,355891,367630,379671,392245,402948
451683,Bartholomew,76809,81286,84572,86892,88461
450403,Benton,8863,8692,8507,8440,8299
450404,Blackford,12771,12224,11759,11210,10592
450405,Boone,56909,63037,70556,77632,83749
451684,Brown,15206,14994,14631,14490,14171
450406,Carroll,20197,19889,19509,19263,18961
450339,Cass,38978,38168,37195,36532,35642
450340,Clark,110568,114927,119944,124984,129070
450341,Clay,26853,26389,26382,26387,26246
450342,Clinton,33225,32411,32128,31766,31388
451674,Crawford,10710,10555,10330,10141,9867
450343,Daviess,31718,32818,33951,35244,36469
450344,Dearborn,50090,49452,49589,50830,51753
450345,Decatur,25789,26380,27006,27494,27785
450346,DeKalb,42297,42452,43060,43659,44032
450347,Delaware,117647,115811,114142,112698,111634
451675,Dubois,41905,42327,43133,44179,45218
450348,Elkhart,197452,203401,209690,216828,223392
450349,Fayette,24327,23391,22570,21910,21192
450350,Floyd,74710,76519,78826,80355,81345
450351,Fountain,17278,16537,15946,15682,15259
450352,Franklin,23056,22913,22863,23388,23722
450353,Fulton,20810,20329,20110,20058,19866
450354,Gibson,33542,33622,34077,34521,34783
450355,Grant,69906,67519,65685,63984,62233
451676,Greene,33196,32399,31803,31315,30668
450356,Hamilton,276476,308774,343179,379478,417754
450357,Hancock,70228,72398,76353,80876,85043
451677,Harrison,39327,39521,40636,42091,43157
450358,Hendricks,145884,157709,170323,184022,197902
450359,Henry,49529,48664,48041,46873,45591
450360,Howard,82750,82314,82388,81883,80786
450361,Huntington,37118,36518,36190,35812,35334
451678,Jackson,42585,43902,45026,45564,45822
450494,Jasper,33493,33481,33879,35183,36308
450362,Jay,21179,21141,21149,21109,20975
450363,Jefferson,32402,32313,32428,32438,32265
450364,Jennings,28481,27822,27353,27247,27133
450365,Johnson,140269,148935,158713,168123,176917
450366,Knox,38390,37759,37407,37003,36602
450367,Kosciusko,77338,78794,80154,82066,83361
450368,LaGrange,37158,38638,39848,41099,42052
450495,Lake,495878,488316,479815,481583,482321
450507,LaPorte,111458,110825,110328,110391,110004
451703,Lawrence,46102,45577,45075,44879,44383
450370,Madison,131614,129390,127604,126187,124262
450371,Marion,904504,940235,963732,983721,1001231
450372,Marshall,46996,46761,46879,47612,48061
451679,Martin,10357,10215,10236,10316,10273
450373,Miami,36812,36012,35095,34689,34040
451680,Monroe,138511,144225,150620,156689,162024
450374,Montgomery,38097,38298,38342,38445,38340
450375,Morgan,69144,69551,70302,71372,72001
450376,Newton,14239,13984,13797,13578,13198
450377,Noble,47453,47543,48185,48642,48938
450378,Ohio,6095,5882,5905,5978,5985
451681,Orange,19808,19622,19406,19422,19267
450379,Owen,21575,20831,20160,19707,19123
450380,Parke,17281,16978,16565,16286,15920
451682,Perry,19409,19303,19216,19101,18836
450381,Pike,12783,12458,12259,12159,11977
450382,Porter,164540,167430,171945,177680,182536
450383,Posey,25861,25609,25053,24566,23874
446852,Pulaski,13328,12800,12498,12315,12004
450384,Putnam,37911,37500,37486,37476,37497
446853,Randolph,26171,25111,24249,23607,22885
450385,Ripley,28812,28388,28904,29768,30412
446854,Rush,17384,16709,16252,15952,15548
452855,St. Joseph,266782,268356,269113,270839,271912
450386,Scott,24162,23658,23507,23664,23688
450387,Shelby,44325,44349,44600,44953,45039
450388,Spencer,20912,20641,20564,20517,20236
450389,Starke,23345,22855,22595,22281,21845
450390,Steuben,34145,34514,34453,34485,34162
450391,Sullivan,21390,20878,20579,20304,19910
450392,Switzerland,10696,10614,10703,11138,11458
450393,Tippecanoe,173045,186076,195555,205719,213870
450394,Tipton,15874,15235,14769,14477,213870
450395,Union,7537,7200,6974,6940,6896
450396,Vanderburgh,179832,181917,184440,187185,189441
450397,Vermillion,16116,15594,15214,14987,14653
450398,Vigo,107872,107473,107795,107968,107777
450399,Wabash,32845,31870,31165,30448,29619
450400,Warren,8518,8271,8096,7998,7854
450335,Warrick,59834,61548,63818,66094,67958
451665,Washington,28301,27777,27640,27846,27853
450336,Wayne,68894,66949,65349,64579,63583
450337,Wells,27680,27835,28185,28341,28210
450338,White,24684,24280,23810,23549,23105
450369,Whitley,33356,33444,33539,34037,34513
