County NS Code,County,2010,2015,2020,2025,2030
484970,Allen,13355,12831,12307,11793,11278
484971,Anderson,8092,7932,7771,7696,7620
484972,Atchison,16868,16461,16053,15627,15200
484973,Barber,4838,4652,4466,4184,3902
484974,Barton,27683,26874,26065,25150,24234
484975,Bourbon,15143,14827,14511,14362,14212
484976,Brown,9978,9687,9395,9027,8659
484977,Butler,65914,67111,68307,69879,71450
484978,Chase,2792,2745,2697,2731,2765
484978,Chautauqua,3647,3426,3204,2995,2786
484980,Cherokee,21549,20545,19540,18650,17760
484981,Cheyenne,2720,2658,2595,2512,2429
484982,Clark,2201,2080,1959,1818,1677
484983,Clay,8541,8192,7842,7460,7077
484984,Cloud,9525,9209,8892,8571,8250
484985,Coffey,8589,8533,8476,8525,8574
484986,Comanche,1888,1849,1810,1743,1675
484987,Cowley,36300,35821,35341,34794,34246
484988,Crawford,39177,39199,39220,39260,39299
484989,Decatur,2946,2849,2751,2648,2545
484990,Dickinson,19779,19208,18636,18085,17534
484991,Doniphan,7948,7707,7466,7217,6967
484992,Douglas,111245,118109,124973,132051,139128
484993,Edwards,3050,2993,2936,2931,2926
484994,Elk,2873,2647,2420,2261,2102
484995,Ellis,28445,28564,28683,28396,28108
484996,Ellsworth,6518,6404,6289,6237,6184
485326,Finney,36957,36865,36773,36807,36840
484997,Ford,34041,33632,33223,32177,31131
484998,Franklin,26009,25668,25326,25010,24694
484999,Geary,35284,34990,34695,33311,31927
485000,Gove,2681,2550,2419,2205,1990
481811,Graham,2606,2561,2516,2456,2395
485099,Grant,7834,7692,7550,7413,7275
485001,Gray,6026,6050,6074,6121,6167
485002,Greeley,1259,1276,1293,1289,1285
485003,Greenwood,6673,6314,5955,5708,5461
485327,Hamilton,2706,2600,2494,2438,2381
485004,Harper,6018,5745,5471,5203,4934
485005,Harvey,34740,34957,35174,35479,35783
485328,Haskell,4273,4108,3942,3856,3769
485006,Hodgeman,1915,1835,1755,1612,1469
485007,Jackson,13472,13371,13270,13234,13197
485008,Jefferson,19133,19077,19021,19165,19309
485009,Jewell,3067,2906,2744,2545,2346
485010,Johnson,545816,575627,605438,632343,659248
485011,Kearny,3990,3974,3957,4006,4055
485012,Kingman,7841,7440,7038,6516,5993
485013,Kiowa,2562,2497,2431,2364,2297
485014,Labette,21544,20759,19973,19364,18755
485015,Lane,1738,1649,1559,1460,1361
485016,Leavenworth,76543,79608,82672,85806,88939
485017,Lincoln,3233,3117,3001,2909,2816
485018,Linn,9635,9609,9583,9606,9628
485019,Logan,2774,2854,2933,3063,3192
485020,Lyon,33642,33635,33627,33755,33883
485022,Marion,12664,12356,12047,11958,11868
485023,Marshall,10109,9875,9640,9387,9134
485021,McPherson,29142,28528,27914,26788,25662
485024,Meade,4591,4364,4137,4033,3928
485025,Miami,32876,33098,33320,33753,34186
485026,Mitchell,6346,6230,6114,5948,5781
485027,Montgomery,35383,33244,31104,29004,26904
485028,Morris,5911,5655,5399,5182,4965
485135,Morton,3237,2906,2574,2223,1872
485029,Nemaha,10171,10317,10463,10746,11028
485030,Neosho,16495,16211,15926,15633,15339
485031,Ness,3107,2970,2832,2671,2510
485032,Norton,5657,5478,5299,5057,4814
485033,Osage,16292,15912,15531,15136,14740
485034,Osborne,3836,3669,3501,3319,3137
485035,Ottawa,6095,5916,5737,5509,5281
485036,Pawnee,6970,6760,6549,6306,6063
485037,Phillips,5625,5484,5342,5228,5114
485038,Pottawatomie,21714,23313,24911,26533,28154
485039,Pratt,9645,9552,9458,9286,9113
485040,Rawlins,2502,2535,2568,2590,2612
485041,Reno,64565,63460,62355,61224,60093
485042,Republic,4943,4790,4636,4556,4476
485043,Rice,10107,9917,9726,9586,9445
485044,Riley,71606,71522,71438,68832,66226
485045,Rooks,5181,5063,4944,4777,4610
485358,Rush,3317,3143,2969,2858,2746
485046,Russell,6990,7014,7037,7092,7146
485047,Saline,55772,55311,54850,54429,54007
485048,Scott,4950,5024,5097,5174,5251
485049,Sedgwick,499320,509864,520407,530904,541401
485050,Seward,22983,22606,22229,21547,20864
485051,Shawnee,178351,178153,177955,177568,177180
485052,Sheridan,2549,2520,2490,2465,2440
485053,Sherman,6009,5903,5796,5581,5366
484969,Smith,3860,3710,3560,3472,3383
485054,Stafford,4420,4260,4099,3958,3817
485055,Stanton,2247,2099,1950,1806,1662
485056,Stevens,5743,5570,5396,5147,4898
481812,Sumner,24096,23506,22915,22452,21988
485057,Thomas,7941,7932,7923,7958,7992
485058,Trego,2991,2883,2775,2653,2531
485059,Wabaunsee,7032,6894,6755,6579,6402
485060,Wallace,1483,1457,1431,1347,1262
485061,Washington,5781,5596,5410,5239,5068
485062,Wichita,2241,2148,2054,1978,1902
485063,Wilson,9406,8878,8350,7883,7415
485064,Woodson,3304,3215,3126,3076,3025
485065,Wyandotte,157678,162976,168274,173984,179693
