County NS Code,County,2010,2015,2020,2025,2030
516847,Adair,18656,19027,19180,19213,19145
516848,Allen,19956,20640,21377,21983,22473
516849,Anderson,21421,21979,22821,23617,24327
516850,Ballard,8249,8212,8164,8097,8005
516851,Barren,42173,43570,45135,46580,47943
516852,Bath,11591,12228,12529,12794,13064
516853,Bell,28691,27337,26394,25291,24024
516854,Boone,118811,127712,139018,150928,163722
516855,Bourbon,19985,20116,20090,20027,19897
516856,Boyd,49542,48325,47912,47353,46626
516857,Boyle,28432,29809,30550,31232,31810
516858,Bracken,8488,8321,8139,7900,7609
516859,Breathitt,13878,13484,12817,12078,11244
516860,Breckinridge,20059,20018,19973,19848,19611
516861,Bullitt,74319,78702,83186,87470,91527
516862,Butler,12690,12938,12720,12426,12068
516863,Caldwell,12984,12681,12633,12541,12426
516864,Calloway,37191,38343,39328,40487,41687
516865,Campbell,90336,92066,92898,93427,93473
516866,Carlisle,5104,4874,4737,4604,4450
516867,Carroll,10811,10699,10766,10757,10675
516868,Carter,27720,27158,26852,26417,25833
516869,Casey,15955,15808,15521,15167,14729
516870,Christian,73955,73309,74027,73999,73725
516871,Clark,35613,35757,36206,36508,36647
516872,Clay,21730,21013,20177,19168,18038
516873,Clinton,10272,10174,10220,10235,10216
516874,Crittenden,9315,9183,9103,8976,8828
516875,Cumberland,6856,6759,6585,6358,6111
516876,Daviess,96656,99259,102033,104517,106676
516877,Edmonson,12161,12007,11812,11565,11237
516878,Elliott,7852,7648,7633,7542,7382
516879,Estill,14672,14375,14059,13654,13188
516880,Fayette,295803,314488,333580,354318,375637
516881,Fleming,14348,14637,14790,14887,14876
516882,Floyd,39451,37756,36156,34308,32302
516883,Franklin,49285,50375,50836,51123,51201
516884,Fulton,6813,6238,5726,5252,4789
516885,Gallatin,8589,8636,8857,9006,9100
516886,Garrard,16912,17237,17476,17571,17543
516887,Grant,24662,24757,24793,24758,24595
516888,Graves,37121,37421,37883,38243,38483
516889,Grayson,25746,26221,26433,26489,26440
516890,Green,11258,11010,10716,10367,9971
516891,Greenup,36910,36068,35475,34686,33706
516892,Hancock,8565,8692,8786,8842,8839
516893,Hardin,105543,106439,112494,118413,124137
516894,Harlan,29278,27703,26368,24936,23381
516895,Harrison,18846,18763,18751,18674,18464
516896,Hart,18199,18454,18683,18836,18935
516897,Henderson,46250,46407,46358,46057,45516
516898,Henry,15416,15620,15617,15514,15360
516899,Hickman,4902,4612,4349,4077,3803
516900,Hopkins,46920,46222,45565,44661,43549
516901,Jackson,13494,13352,13119,12742,12271
516902,Jefferson,741096,763623,790010,815058,837477
516903,Jessamine,48586,51961,56126,60271,64398
516904,Johnson,23356,23175,23058,22813,22416
516905,Kenton,159720,165012,169386,173041,176039
516906,Knott,16346,15693,14841,13957,12997
516907,Knox,31883,31730,31443,30975,30310
516908,Larue,14193,14241,14311,14348,14309
516909,Laurel,58849,60094,61519,62592,63429
516910,Lawrence,15860,15745,15668,15378,14979
516911,Lee,7887,6752,6433,6102,5727
516912,Leslie,11310,10711,10144,9505,8831
516913,Letcher,24519,23123,22207,21147,19970
516914,Lewis,13870,13682,13434,13103,12690
516915,Lincoln,24742,24463,24324,24035,23576
516916,Livingston,9519,9316,9131,8889,8572
516917,Logan,26835,26910,26890,26770,26494
516918,Lyon,8314,8306,8476,8602,8669
516925,McCracken,65565,65018,65317,65487,65376
516926,McCreary,18306,17878,17840,17630,17320
516927,McLean,9531,9512,9274,8980,8642
516919,Madison,82916,87824,91774,95773,99688
516920,Magoffin,13333,12808,12497,12094,11611
516921,Marion,19820,19365,19640,19824,19929
516922,Marshall,31448,31101,31149,31060,30830
516923,Martin,12929,12307,11697,11059,10386
516924,Mason,17490,17099,17106,17074,16941
516928,Meade,28602,27924,27395,26780,26025
516929,Menifee,6306,6358,6175,5940,5633
516930,Mercer,21331,21407,21389,21255,20962
516931,Metcalfe,10099,9909,9773,9595,9390
516932,Monroe,10963,10667,10291,9896,9474
516933,Montgomery,26499,27608,29421,31241,33051
516934,Morgan,13923,13275,12824,12324,11762
516935,Muhlenberg,31499,31183,30582,29903,29110
516936,Nelson,43437,45126,47473,49702,51695
516937,Nicholas,7135,7131,7070,6997,6896
516938,Ohio,23842,24216,24235,24083,23832
516939,Oldham,60316,64875,69419,74806,81831
516940,Owen,10841,10730,10464,10164,9837
516941,Owsley,4755,4461,4300,4125,3919
516942,Pendleton,14877,14408,14051,13588,13020
516943,Perry,28712,27565,26777,25771,24621
516944,Pike,65024,61792,59412,56810,53994
516945,Powell,12613,12269,11753,11192,10584
516946,Pulaski,63063,63782,65677,67345,68854
516947,Robertson,2282,2138,2107,2053,1983
516948,Rockcastle,17056,16942,16740,16455,16078
516949,Rowan,23333,23892,24879,25809,26953
516950,Russell,17565,17662,17949,18178,18303
516951,Scott,47173,52420,59589,67570,76607
516952,Shelby,42074,45632,49988,54637,59415
516953,Simpson,17327,18006,18396,18764,19042
516954,Spencer,17061,17894,19451,21069,22780
516955,Taylor,24512,25420,25945,26446,26890
516956,Todd,12460,12531,12641,12755,12854
516957,Trigg,14339,14233,14395,14482,14544
516958,Trimble,8809,8769,8673,8554,8363
516959,Union,15007,15050,14906,14654,14290
516960,Warren,113792,122851,133207,144676,157013
516961,Washington,11717,12063,12354,12656,12904
516962,Wayne,20813,20464,20200,19790,19246
516963,Webster,13621,13170,12600,11958,11288
516964,Whitley,35637,36129,35987,35677,35116
516965,Wolfe,7355,7259,7282,7208,7074
516966,Woodford,24939,25793,26593,27421,28229
