County NS Code,County,2010,2015,2020,2025,2030
558389,Acadia,61850,62681,63167,63778.5,64390
558397,Allen,25738,25645,25868,26082.0,26296
558403,Ascension,107851,119374,129701,140293.0,150885
558414,Assumption,23352,22890,22183,21522.0,20861
558424,Avoyelles,42090,40991,40987,40788.0,40589
558436,Beauregard,35848,36530,37754,38780.5,39807
558445,Bienville,14329,13826,13763,13623.0,13483
558453,Bossier,117628,125577,128873,132435.0,135997
558458,Caddo,255694,251361,242403,233961.5,225520
558468,Calcasieu,193104,198427,206801,214582.0,222363
558477,Caldwell,10138,10047,10269,10491.5,10714
558488,Cameron,6901,6825,7049,7254.5,7460
558495,Catahoula,10374,10027,9527,9032.0,8537
558505,Claiborne,17153,16266,15527,14763.5,14000
558515,Concordia,20831,20232,19365,18650.5,17936
558521,De Soto,26683,27111,27295,27458.5,27622
558530,East Baton Rouge,440723,445078,451374,456618.5,461863
558534,East Carroll,7724,7276,7039,6731.5,6424
558542,East Feliciana,20170,19558,19593,19465.5,19338
558551,Evangeline,33965,33713,33641,33522.5,33404
558557,Franklin,20820,20388,20102,19800.5,19499
558567,Grant,22345,22301,22498,22652.0,22806
558576,Iberia,73252,73761,72706,71905.5,71105
558582,Iberville,33363,33137,32726,32453.5,32181
558592,Jackson,16293,15948,15468,15036.0,14604
558027,Jefferson,432755,435275,439543,443046.0,446549
558039,Jefferson Davis,31628,31431,31541,31672.0,31803
558049,LaSalle,14916,14985,15233,15447.0,15661
558059,Lafayette,222178,239281,253020,268017.0,283014
558065,Lafourche,96686,98323,99931,101940.5,103950
558077,Lincoln,46864,47437,48158,48650.0,49142
558083,Livingston,128707,137463,146950,155678.0,164406
558088,Madison,12100,11552,11092,10529.0,9966
558097,Morehouse,27896,26309,25034,23716.0,22398
558108,Natchitoches,39525,38996,39086,38958.5,38831
558113,Orleans,347903,389791,406354,425151.0,443948
558114,Ouachita,153976,156877,158146,159497.5,160849
558125,Plaquemines,23123,23443,23396,23289.5,23183
559449,Pointe Coupee,22757,22207,22021,21828.0,21635
559460,Rapides,131791,131801,132636,132789.5,132943
559472,Red River,9058,8714,8165,7678.5,7192
559481,Richland,20741,20551,19889,19191.5,18494
559489,Sabine,24234,24215,23844,23657.5,23471
1629542,St. Bernard,36813,45425,48165,51354.0,54543
1629449,St. Charles,52844,52583,53299,53744.0,54189
1629457,St. Helena,11168,10469,10178,9749.5,9321
1629464,St. James,22006,21480,21521,21458.5,21396
1629472,St. John The Baptist,45624,43542,43713,43783.5,43854
1629479,St. Landry,83495,83628,84343,84847.0,85351
1629486,St. Martin,52261,53883,55348,57039.5,58731
1629492,St. Mary,54542,52881,50670,48791.0,46912
1629503,St. Tammany,234568,248913,265725,280978.5,296232
559500,Tangipahoa,121492,128740,136468,143788.0,151108
559509,Tensas,5224,4773,4273,3863.5,3454
559517,Terrebonne,111538,113796,113978,114855.5,115733
559528,Union,22825,22492,22720,22997.5,23275
559538,Vermilion,58074,59931,61441,62979.0,64517
559548,Vernon,52743,51415,48453,45554.0,42655
559557,Washington,47098,46368,46250,46132.5,46015
559567,Webster,41192,40055,38616,37228.0,35840
559570,West Baton Rouge,23948,25559,27240,29101.5,30963
559578,West Carroll,11577,11286,10660,10090.5,9521
559584,West Feliciana,15624,15366,15249,15122.0,14995
559594,Winn,15283,14645,13867,13234.5,12602
