County NS Code,County,2010,2015,2020,2025,2030
606927,Barnstable,215875,214098,212320,209836,207352
606928,Berkshire,131275,127618,123961,120287,116612
606929,Bristol,548254,556715,565176,573394,581612
606930,Dukes,16535,16940,17344,17457,17570
606931,Essex,743081,769677,796272,817591,838909
606932,Franklin,71377,70516,69655,68712,67768
606933,Hampden,463625,467151,470677,473128,475578
606934,Hampshire,158056,160307,162557,163395,164232
606935,Middlesex,1503123,1566520,1629916,1680291,1730666
606936,Nantucket,10172,10909,11646,12482,13318
606937,Norfolk,670907,689309,707710,720562,733414
606938,Plymouth,494937,509754,524571,538079,551587
606939,Suffolk,722190,768048,813905,851886,889867
606940,Worcester,798383,814542,830701,844183,857665
