County NS Code,County,2010,2015,2020,2025,2030
1713506,Allegany,75087,72650,74150,74900,75650
1710958,Anne Arundel,537656,562850,573250,584400,596700
1695314,Baltimore,805029,828950,847000,857000,862200
1702381,Baltimore City,620961,615800,616300,618300,625100
1676636,Calvert,88737,90650,94600,97350,99200
595737,Caroline,33066,32900,34050,36250,38450
1696228,Carroll,167134,167550,169200,171700,175150
596115,Cecil,101108,102400,104600,111600,119550
1676992,Charles,146551,155600,167050,178250,194650
596495,Dorchester,32618,32250,34300,36050,37350
1711211,Frederick,233385,245600,260800,288700,303600
1711058,Garrett,30097,29600,30300,30900,31250
1698178,Harford,244826,250600,257700,264850,271850
1709077,Howard,287085,312050,336900,355700,366800
593907,Kent,20197,19600,20900,21600,22100
1712500,Montgomery,971777,1036000,1052050,1087250,1128800
1714670,'Prince George''s',863420,905850,916150,938000,952950
596089,'Queen Anne''s',47798,48650,50750,52850,55750
1697853,'St. Mary''s',105151,112200,120150,129200,140750
596907,Somerset,26470,25700,26750,28000,28450
592947,Talbot,37782,37600,38850,40050,40900
1714220,Washington,147430,150000,156800,166450,175400
1668606,Wicomico,98733,101950,106200,111400,118200
1668802,Worcester,51454,51400,53100,55750,57950
