County NS Code,County,2010,2015,2020,2025,2030
581286,Androscoggin,107690,107104,107968,108579,108769
581287,Aroostook,71697,68824,67929,67736,67337
581288,Cumberland,281435,289361,294711,298632,301376
581289,Franklin,30715,30072,29964,30030,29967
581290,Hancock,54358,54304,54588,54679,54522
581291,Kennebec,122072,120983,120469,120095,119468
581292,Knox,39730,39675,39430,39103,38627
581293,Lincoln,34395,33770,32801,31725,30651
581294,Oxford,57779,57068,56108,55241,54294
581295,Penobscot,153841,151934,151927,152294,152132
581296,Piscataquis,17550,16935,15908,14989,14118
581297,Sagadahoc,35235,35113,35233,35283,35197
581298,Somerset,52219,50745,49192,47923,46742
581299,Waldo,38816,39134,39797,39994,40002
581300,Washington,32827,31747,31172,30723,30155
581301,York,197209,201018,208062,213437,217689
