County NS Code,County,2010,2015,2020,2025,2030
663198,Aitkin,16202,15715,15198,14742,14314
659447,Anoka,330844,344838,358469,370460,380651
659448,Becker,32504,33567,34447,35107,35544
659449,Beltrami,44442,45873,47604,48723,49526
659450,Benton,38451,39739,41012,42027,42829
659451,Big Stone,5269,5054,4969,4849,4756
659452,Blue Earth,64013,66179,68348,70125,71389
659453,Brown,25893,25434,24627,24116,23621
659454,Carlton,35386,35635,36305,36627,36754
659455,Carver,91042,98798,107961,115978,123156
659456,Cass,28567,28718,28134,27906,27740
659457,Chippewa,12441,12117,11907,11708,11549
659458,Chisago,53887,54332,56696,57937,58713
659459,Clay,58999,62181,64292,66221,67623
659460,Clearwater,8695,8802,8962,9054,9104
659461,Cook,5176,5219,5371,5443,5482
659462,Cottonwood,11687,11575,11440,11274,11136
659463,Crow Wing,62500,63481,65189,66303,67282
659464,Dakota,398552,414490,434203,450017,463564
659465,Dodge,20087,20378,20646,20743,20725
659466,Douglas,36009,37103,37885,38528,38940
659467,Faribault,14553,13945,13764,13437,13127
659468,Fillmore,20866,20826,20336,19929,19497
659469,Freeborn,31255,30642,30096,29419,28718
659470,Goodhue,46183,46611,46350,46069,45617
659471,Grant,6018,5872,5876,5796,5710
659472,Hennepin,1152425,1221703,1294371,1354674,1407332
659473,Houston,19027,18788,18458,18159,17824
659474,Hubbard,20428,20679,21013,21207,21307
659475,Isanti,37816,38521,39570,40090,40345
659476,Itasca,45058,45658,46625,47064,47246
659477,Jackson,10266,10113,10390,10420,10439
659478,Kanabec,16239,15908,15571,15206,14836
659479,Kandiyohi,42239,42510,42924,43019,43027
659480,Kittson,4552,4422,4318,4209,4109
659481,Koochiching,13311,12889,11931,11205,10570
659482,Lac Qui Parle,7259,6866,6208,5768,5449
659484,Lake,10866,10634,10238,9872,9536
659483,Lake Of The Wood,4045,3925,3698,3533,3383
659485,Le Sueur,27703,27704,28193,28390,28469
659486,Lincoln,5896,5770,5670,5576,5498
659487,Lyon,25857,25776,25417,25173,24967
659488,Mahnomen,5413,5456,5628,5684,5715
659489,Marshall,9439,9417,9462,9440,9399
659490,Martin,20840,20122,19658,19171,18711
659491,McLeod,36651,35930,36373,36187,35979
659492,Meeker,23300,23110,23043,22841,22642
659493,Mille Lacs,26097,25788,25903,25753,25514
659494,Morrison,33198,32786,32854,32718,32632
659495,Mower,39163,39181,38999,38587,38062
659496,Murray,8725,8418,8145,7893,7688
659497,Nicollet,32727,33432,33965,34449,34748
659498,Nobles,21378,21743,21711,21664,21617
659499,Norman,6852,6666,6286,6037,5818
659500,Olmsted,144248,151388,159558,165148,168996
659501,Otter Tail,57303,57679,58127,58270,58197
659502,Pennington,13930,14206,14388,14522,14598
659503,Pine,29750,29107,29554,29508,29339
659504,Pipestone,9596,9281,8764,8413,8129
659505,Polk,31600,31529,32033,32137,32152
659506,Pope,10995,11016,10941,10894,10817
659507,Ramsey,508640,533677,567959,593842,616408
659508,Red Lake,4089,4039,4015,3973,3929
659509,Redwood,16059,15486,14457,13699,13088
659510,Renville,15730,14965,13913,13126,12469
659511,Rice,64142,65420,65575,65593,65297
659512,Rock,9687,9601,9405,9281,9178
659513,Roseau,15629,15771,15847,15953,16003
662850,St. Louis,200226,200381,202271,202075,201154
659514,Scott,129928,140898,152927,163088,172140
659515,Sherburne,88499,91895,94258,96492,98248
659516,Sibley,15226,14884,14718,14491,14261
659517,Stearns,150642,154446,155587,157298,158501
659518,Steele,36576,36708,37265,37569,37643
659519,Stevens,9726,9804,9901,9943,9945
659520,Swift,9783,9361,8892,8513,8231
659521,Todd,24895,24255,24041,23735,23501
659522,Traverse,3558,3405,3100,2894,2712
659523,Wabasha,21676,21265,21139,20861,20531
659524,Wadena,13843,13879,13674,13610,13568
659525,Waseca,19136,18988,19176,19166,19101
659526,Washington,238136,251015,264517,275748,285490
659527,Watonwan,11211,10995,11062,10995,10906
659528,Wilkin,6576,6421,6380,6256,6131
659529,Winona,51461,51128,50241,49380,48431
659530,Wright,124700,131361,136890,141796,145773
659531,Yellow Medicine,10438,9945,9877,9670,9508
