County NS Code,County,2010,2015,2020,2025,2030
765805,Adair,24709,24779,24875,24912,24913
758456,Andrew,17099,17747,18434,19092,19670
758457,Atchison,5927,5715,5559,5419,5280
758458,Audrain,25806,25966,26217,26564,27027
758459,Barry,37072,38986,40917,42695,44295
758460,Barton,12910,12994,13173,13430,13730
758461,Bates,17232,17673,18129,18539,18923
758462,Benton,18935,19500,19934,20187,20228
758463,Bollinger,12260,12403,12555,12683,12805
758464,Boone,158353,170796,183101,194516,204264
758465,Buchanan,87049,88757,90380,91783,93007
758466,Butler,41489,41594,41613,41577,41491
758467,Caldwell,9342,9656,9987,10312,10633
758468,Callaway,44817,47427,50140,52751,55096
758469,Camden,41660,44136,46290,47954,49124
758470,Cape Girardeau,74106,76997,79916,82551,84612
758471,Carroll,9777,9489,9232,9014,8816
758472,Carter,5911,5933,5936,5905,5837
758473,Cass,102491,112247,121499,129880,136933
758474,Cedar,13756,13610,13493,13352,13207
758475,Chariton,7548,7178,6832,6492,6172
758476,Christian,79937,93862,107318,119898,131066
758477,Clark,7181,7117,7054,6982,6904
758478,Clay,220635,241150,261469,281228,300021
758479,Clinton,22015,23459,24821,26049,27124
758480,Cole,74620,76979,79333,81571,83583
758481,Cooper,17933,18760,19583,20337,20979
758482,Crawford,24608,25614,26561,27319,27895
758483,Dade,7559,7434,7294,7145,6977
758484,Dallas,17432,18723,19984,21148,22172
758485,Daviess,7929,7891,7872,7870,7881
758486,DeKalb,12372,12462,12564,12669,12755
758487,Dent,15167,15309,15446,15576,15694
758488,Douglas,13481,13655,13809,13900,13934
758489,Dunklin,31363,30575,29870,29277,28765
758490,Franklin,102419,106652,110704,114251,117122
758491,Gasconade,15611,15743,15890,15958,15921
758492,Gentry,6013,5637,5314,5020,4759
758493,Greene,272322,289253,305012,318820,329825
758494,Grundy,10084,9983,9896,9816,9730
758495,Harrison,8950,9105,9269,9439,9632
758496,Henry,22748,23181,23568,23880,24176
758497,Hickory,9177,9290,9362,9372,9292
758498,Holt,4781,4591,4428,4265,4094
758499,Howard,9887,9933,10050,10186,10307
758500,Howell,39441,40698,41824,42731,43414
758501,Iron,9719,9158,8605,8048,7494
758502,Jackson,668867,678274,689226,701350,714467
758503,Jasper,119317,127957,136389,144578,152490
758504,Jefferson,222183,233487,244003,253080,260276
758505,Johnson,53390,55520,57691,59771,61668
758506,Knox,4005,3894,3825,3782,3758
758507,Laclede,36400,38627,40752,42670,44318
758508,Lafayette,32791,32785,32869,32923,32947
758509,Lawrence,38905,41092,43272,45316,47249
758510,Lewis,10128,10099,10126,10184,10283
758511,Lincoln,56010,65293,74529,83294,91294
758512,Linn,12406,11898,11477,11069,10696
758513,Livingston,14080,14124,14187,14238,14246
758514,Macon,15668,15746,15847,15942,16028
758515,Madison,12295,12650,12944,13163,13304
758516,Maries,9275,9563,9848,10129,10406
758517,Marion,28625,28957,29281,29540,29759
758518,McDonald,23401,24465,25625,26823,28078
758519,Mercer,3385,3290,3221,3172,3142
758520,Miller,25550,26464,27277,27928,28404
758521,Mississippi,13297,12784,12285,11840,11443
758522,Moniteau,15217,15490,15844,16226,16638
758523,Monroe,9259,9340,9438,9513,9590
758524,Montgomery,11881,11803,11727,11622,11513
758525,Morgan,21386,22394,23357,24183,24827
758526,New Madrid,16972,15764,14621,13549,12554
758527,Newton,57265,59748,62218,64553,66663
758528,Nodaway,22152,22383,22644,22856,23018
758529,Oregon,10339,10384,10457,10524,10558
758530,Osage,13280,13379,13493,13608,13704
758531,Ozark,9168,8981,8804,8623,8457
758532,Pemiscot,18455,17856,17324,16839,16447
758533,Perry,18948,19529,20100,20655,21164
758534,Pettis,41309,42731,44237,45781,47349
758535,Phelps,43206,44558,45824,46864,47635
758536,Pike,18589,18614,18669,18702,18728
758537,Platte,88964,95966,102810,109228,114904
758538,Polk,31470,33866,36172,38301,40139
758539,Pulaski,44466,44989,45497,46003,46520
758540,Putnam,4846,4680,4545,4452,4391
758541,Ralls,9813,9967,10116,10238,10299
758542,Randolph,25847,26341,26842,27308,27738
758543,Ray,23616,23787,24012,24230,24435
758544,Reynolds,6495,6447,6389,6332,6285
758545,Ripley,13715,13887,14003,14024,14008
758550,Saline,22486,22082,21740,21430,21140
758551,Schuyler,4071,4056,4050,4035,3999
758552,Scotland,4754,4799,4893,5011,5130
758553,Scott,40646,40797,40948,41022,41076
758554,Shannon,8579,8900,9214,9472,9693
758555,Shelby,6417,6223,6067,5917,5764
758546,St. Charles,364607,402519,439068,472104,499126
758547,St. Clair,9477,9451,9401,9316,9184
758548,St. Francois,64538,67349,69815,71823,73382
758549,St. Louis,987799,975010,967196,962060,956817
765806,Ste. Genevieve,17899,18003,18161,18311,18426
758556,Stoddard,29599,29504,29374,29186,28973
758557,Stone,32994,35328,37427,39113,40346
758558,Sullivan,6543,6253,6033,5893,5822
758559,Taney,48463,53982,59227,63955,68041
758560,Texas,23042,22875,22684,22436,22169
758561,Vernon,20054,19846,19673,19551,19465
758562,Warren,32377,36410,40174,43468,46241
758563,Washington,24789,25614,26294,26842,27294
758564,Wayne,12693,12378,12001,11594,11200
758565,Webster,37946,41911,45880,49675,53282
758566,Worth,2047,1975,1917,1867,1826
758567,Wright,18455,18892,19299,19649,19963
