County NS Code,County,2010,2015,2020,2025,2030
695726,Adams,32560,31354,30267,29028.5,27790
711755,Alcorn,37108,37388,37265,37186.0,37107
695727,Amite,13112,12574,12039,11509.5,10980
695728,Attala,19540,19043,18493,17931.5,17370
695729,Benton,8695,8182,8015,7699.0,7383
695730,Bolivar,34091,33322,31282,29428.5,27575
695731,Calhoun,14952,14717,14469,14280.5,14092
695732,Carroll,10580,10243,10129,9966.0,9803
695733,Chickasaw,17414,17328,17146,17002.5,16859
695734,Choctaw,8561,8299,8020,7740.0,7460
695735,Claiborne,9571,9105,9133,9117.5,9102
695736,Clarke,16707,16006,15375,14725.5,14076
695737,Clay,20547,20048,19264,18528.0,17792
695738,Coahoma,26121,24620,22355,20469.5,18584
695739,Copiah,29428,28773,28096,27590.0,27084
695740,Covington,19595,19543,19830,20146.0,20462
695741,DeSoto,161788,173323,183839,194313.0,204787
695742,Forrest,74998,75944,75199,74140.0,73081
695743,Franklin,8117,7743,7744,7691.0,7638
695744,George,22659,23373,24265,24979.0,25693
695745,Greene,14404,13522,12507,11372.5,10238
695746,Grenada,21855,21578,21009,20659.0,20309
711756,Hancock,44102,46420,48195,49934.5,51674
695747,Harrison,187105,201410,211217,221364.5,231512
695748,Hinds,245365,242891,236952,231251.5,225551
695749,Holmes,19400,18340,17077,15901.5,14726
695750,Humphreys,9330,8669,7998,7354.5,6711
695751,Issaquena,1394,1337,1178,1031.0,884
695752,Itawamba,23411,23609,23664,23814.5,23965
695753,Jackson,139453,141425,142311,143557.5,144804
695754,Jasper,16988,16569,16717,16879.5,17042
695755,Jefferson,7711,7507,6953,6508.5,6064
695756,Jefferson Davis,12441,11665,10783,10037.0,9291
695757,Jones,67816,68215,67110,65981.5,64853
695758,Kemper,10460,9969,9514,9032.5,8551
695759,Lafayette,47561,53154,56074,58944.0,61814
695760,Lamar,56081,60618,63385,66556.5,69728
695761,Lauderdale,80409,78524,75164,71824.0,68484
695762,Lawrence,12897,12622,13002,13311.0,13620
695763,Leake,23756,22763,21778,20710.0,19642
695764,Lee,82909,85300,85011,84469.5,83928
695765,Leflore,32335,30999,28914,27683.0,26452
695766,Lincoln,34878,34649,34393,34198.5,34004
695767,Lowndes,59800,59710,59354,58991.0,58628
695768,Madison,95587,103465,109955,115970.5,121986
695769,Marion,27022,25563,24202,22886.5,21571
695770,Marshall,37078,35916,34977,33920.0,32863
695771,Monroe,36901,35827,35669,35385.0,35101
711757,Montgomery,10907,10152,9850,9420.5,8991
695772,Neshoba,29673,29463,29404,29378.5,29353
695773,Newton,21666,21747,21356,21085.5,20815
695774,Noxubee,11495,11043,10926,10773.0,10620
695775,Oktibbeha,47712,49800,50438,51180.5,51923
695776,Panola,34657,34167,33874,33475.0,33076
695777,Pearl River,55724,55191,55553,55810.0,56067
695778,Perry,12214,12277,12383,12546.0,12709
711758,Pike,40439,39956,39270,38738.0,38206
695803,Pontotoc,30042,30908,32717,34217.0,35717
695779,Prentiss,25217,25459,25229,25178.0,25127
695780,Quitman,8165,7486,6759,6024.5,5290
695781,Rankin,142491,149039,154040,158838.5,163637
695782,Scott,28321,28265,28333,28468.5,28604
695783,Sharkey,4880,4585,4438,4290.0,4142
695784,Simpson,27509,27222,26228,25357.0,24486
695785,Smith,16474,16059,15590,15177.5,14765
695786,Stone,17892,18070,18034,18048.0,18062
695787,Sunflower,29014,27005,24746,22638.0,20530
695788,Tallahatchie,15383,14588,13707,12835.5,11964
695789,Tate,28725,28296,28084,27915.5,27747
695790,Tippah,22197,22131,22422,22697.0,22972
695791,Tishomingo,19603,19552,19385,19241.5,19098
695792,Tunica,10747,10343,9994,9664.5,9335
695793,Union,27132,28429,29011,29882.5,30754
695794,Walthall,15407,14638,14308,13932.0,13556
695795,Warren,48815,47485,45998,44515.5,43033
695796,Washington,51076,48130,44439,40874.5,37310
695797,Wayne,20760,20566,20489,20484.5,20480
695798,Webster,10285,9899,9493,9152.0,8811
695799,Wilkinson,9860,9122,8643,8141.5,7640
695800,Winston,19183,18317,17501,16675.0,15849
695801,Yalobusha,12633,12447,12561,12660.5,12760
695802,Yazoo,28083,27387,26721,26004.5,25288
