County NS Code,County,2010,2015,2020,2025,2030
1719627,Beaverhead,9250,9190,9313,9718,10142
1716521,Big Horn,12912,12813,12171,11631,11189
1722470,Blaine,6484,6647,6797,6918,6990
1719625,Broadwater,5640,5639,5642,5698,5736
1720111,Carbon,10059,10439,10809,11250,11662
1688746,Carter,1155,1193,1314,1448,1527
1719622,Cascade,81501,82371,85580,89662,93313
1719619,Chouteau,5802,5746,5558,5440,5387
1720109,Custer,11698,11899,12282,12780,13144
1637566,Daniels,1742,1783,1776,1767,1750
1715632,Dawson,8932,9683,10239,10661,10935
1719617,Deer Lodge,9300,9233,9272,9499,9734
1688745,Fallon,2890,3232,3760,4187,4471
1719614,Fergus,11577,11256,11241,11508,11826
1719611,Flathead,90891,94355,99354,104624,109047
1720053,Gallatin,89587,96323,103126,109310,113757
1716058,Garfield,1183,1332,1446,1537,1609
1719607,Glacier,13441,13777,14020,14274,14347
1723078,Golden Valley,881,887,982,1070,1162
1719605,Granite,3073,3157,3252,3339,3394
1720048,Hill,16144,16679,17163,17687,18053
1720045,Jefferson,11409,11614,11625,11513,11372
1719602,Judith Basin,2062,2007,2059,2122,2193
1796943,Lake,28787,29046,29304,29630,29751
793926,Lewis And Clark,63586,65594,67306,69202,70631
1720036,Liberty,2354,2386,2474,2593,2707
1720038,Lincoln,19683,19253,19279,19587,19769
1720033,Madison,7685,7772,8111,8511,8857
1716270,McCone,1734,1725,1795,1842,1870
1719600,Meagher,1890,1933,2013,2133,2228
1720030,Mineral,4211,4242,4206,4195,4183
1719596,Missoula,109426,111915,116170,121145,124846
1719593,Musselshell,4550,4620,4603,4609,4617
1720027,Park,15586,15501,15676,16138,16612
1719590,Petroleum,492,549,686,827,932
1720023,Phillips,4267,4113,4054,4078,4161
1719587,Pondera,6168,6219,6351,6555,6769
1719584,Powder River,1729,1732,1821,1944,2069
1720021,Powell,7017,7112,7381,7598,7717
1715847,Prairie,1189,1208,1304,1392,1462
1719582,Ravalli,40323,41111,42363,43995,45500
1715338,Richland,9739,12229,14544,16149,17197
1669428,Roosevelt,10438,11354,12108,12814,13379
1716795,Rosebud,9270,9177,8870,8635,8388
1719578,Sanders,11396,11279,11320,11533,11660
1677577,Sheridan,3374,3732,4009,4236,4405
1719575,Silver Bow,34233,34703,35798,37234,38541
1719572,Stillwater,9111,9482,9397,9019,8597
1719569,Sweet Grass,3614,3559,2945,2463,2261
1720018,Teton,6078,6009,5976,5998,6062
1719566,Toole,5341,5121,5278,5546,5817
1719563,Treasure,718,672,669,696,718
1678923,Valley,7367,7727,7923,8041,8116
1719560,Wheatland,2158,2081,2060,2093,2106
1696629,Wibaux,1006,1154,1242,1278,1293
1719558,Yellowstone,148394,155715,164515,173361,180598
