County NS Code,County,2010,2015,2020,2025,2030,2035
1008531,Alamance,151431,156496,170698,178981,188660,198339
1008532,Alexander,37233,37548,38524,39324,40286,41248
1008533,Alleghany,11137,11230,11558,11911,12302,12695
1008534,Anson,26852,26020,23889,23527,23277,23032
1008535,Ashe,27228,26986,28020,29104,30294,31481
1008536,Avery,17799,17776,18182,18445,18780,19112
1026333,Beaufort,47822,47617,47400,47128,47069,47012
1026334,Bertie,21245,20405,19496,18930,18496,18059
1026336,Bladen,35181,34854,34421,34034,33813,33592
1026340,Brunswick,108069,122956,147644,164483,180776,197075
1008538,Buncombe,238738,253716,264408,273348,283363,293380
1008539,Burke,90580,89308,91708,92465,93787,95107
1008540,Cabarrus,178562,195076,216841,237030,257692,278824
1008541,Caldwell,83022,82748,84230,86200,88161,90192
1026335,Camden,10009,10212,10575,10585,10617,10633
1026337,Carteret,66700,69726,71352,73594,76159,78728
1008542,Caswell,23750,23477,23462,23347,23348,23349
1008543,Catawba,154730,156125,160732,166352,172637,178918
1008544,Chatham,63845,69240,77061,84330,91813,99298
1008545,Cherokee,27435,27731,29610,30803,32106,33408
1025822,Chowan,14738,14427,14114,13905,13767,13625
1008546,Clay,10608,10970,11759,12324,12870,13367
1008547,Cleveland,97917,97715,100814,102959,103964,104362
1026339,Columbus,57992,57188,56002,54597,53476,52351
1026123,Craven,104171,103069,103016,102434,102411,102402
1026124,Cumberland,327197,328944,333531,334207,334709,334812
1026125,Currituck,23674,25526,28048,29980,32017,34055
1026133,Dare,33982,35773,38027,39864,41268,42265
1008548,Davidson,162840,164330,170370,176235,182801,189368
1008549,Davie,41254,41621,43746,46453,49255,52060
1026132,Duplin,58666,59763,60177,60720,61384,61904
1008550,Durham,271357,296900,321261,342889,365859,388823
1008551,Edgecombe,56619,54255,52024,49798,47855,45910
1008552,Forsyth,351374,365339,380964,394665,411256,428113
1008553,Franklin,60835,64079,71196,76685,82418,88156
1008554,Gaston,206114,212125,224168,231109,240069,248735
1026126,Gates,12165,11818,11908,11751,11736,11734
1008555,Graham,8867,8743,8642,8496,8450,8427
1008556,Granville,57673,58212,61628,64730,68078,71426
1008557,Greene,21258,21015,20951,20844,20844,20842
1008558,Guilford,489618,516237,538431,555743,583552,615500
1008559,Halifax,54470,52205,50898,48859,47093,45327
1008560,Harnett,115753,127002,136705,145536,154930,164329
1008561,Haywood,58932,60445,63481,65587,67931,70276
1008562,Henderson,106891,111803,118563,125351,133007,140450
1026127,Hertford,24764,24499,23720,23349,23310,23302
1008563,Hoke,47496,51728,54682,56236,57946,59575
1008564,Hyde,5811,5569,5119,4975,4853,4729
1008565,Iredell,159778,169730,183309,194916,207217,219516
1008566,Jackson,40368,41608,44354,46172,48165,50159
1026327,Johnston,169678,183584,211626,239055,264618,289846
1026338,Jones,10143,10198,10067,10012,10006,10000
1008567,Lee,57877,58667,61663,64083,66893,69706
1008568,Lenoir,59488,58208,56876,56175,55751,55325
1008569,Lincoln,78134,80978,88699,94437,101026,107458
1025833,Macon,33959,34708,37014,39642,42382,45123
1025834,Madison,20777,21751,22500,23130,23843,24562
1026328,Martin,24506,23626,22904,22148,21511,20869
1025836,McDowell,45102,45422,46530,47021,47712,48406
1008570,Mecklenburg,923242,1032629,1118775,1223734,1329914,1435145
1008571,Mitchell,15512,15193,15112,14924,14805,14694
1008572,Montgomery,27729,27729,27753,27814,28006,28203
1008573,Moore,88594,94136,102814,111395,120258,129075
1008574,Nash,95786,94138,96669,98652,99926,100608
1026329,New Hanover,203284,219554,235231,250814,267340,283865
1008575,Northampton,22039,21137,20054,18529,17124,15716
1026341,Onslow,186892,193949,210056,220451,231558,242666
1008576,Orange,133981,140615,147907,154796,162267,169701
1023355,Pamlico,13109,13122,13277,13302,13392,13476
1026330,Pasquotank,40626,39532,39952,39734,39729,39728
1026129,Pender,52415,57735,63949,67936,72153,76376
1025841,Perquimans,13480,13696,13807,14258,14826,15416
1008577,Person,39411,39520,40450,40964,41560,42066
1008578,Pitt,168863,175433,183285,194033,205556,217075
1008579,Polk,20475,20899,21923,22700,23544,24386
1008580,Randolph,141985,142757,145246,148513,152412,156314
1008581,Richmond,46635,45346,45014,44352,43921,43489
1026130,Robeson,134493,133468,131238,130094,129627,129158
1008582,Rockingham,93661,92025,91915,91585,91586,91586
1008583,Rowan,138331,139542,143274,145376,148482,152444
1008584,Rutherford,67740,67609,69049,70734,72706,74680
1026131,Sampson,63532,63863,64053,63967,64058,64091
1008585,Scotland,36062,35705,35724,35471,35389,35306
1025844,Stanly,60579,61196,64691,66127,67759,69389
1008586,Stokes,47344,46557,46684,46700,46804,46851
1008587,Surry,73775,72546,73548,73801,74383,74970
1008588,Swain,14006,14856,14489,14616,14838,15072
1008589,Transylvania,33085,33715,35511,36862,38352,39840
1026332,Tyrrell,4415,4219,3767,3727,3701,3681
1008590,Union,202109,219196,238740,260936,286899,312490
1008591,Vance,45289,44979,45435,45373,45431,45460
1008592,Wake,906870,1005995,1102782,1199735,1305154,1411282
1008593,Warren,20987,20591,19767,18820,17972,17128
1026331,Washington,13119,12498,12039,11584,11194,10802
1008594,Watauga,50972,53789,57011,60968,63224,67545
1026128,Wayne,122886,125129,126339,128239,130737,133231
1008595,Wilkes,69264,69437,70263,71341,72721,74100
1008596,Wilson,81294,81189,83495,86366,89175,91910
1008597,Yadkin,38433,37725,38145,38049,38070,38073
1008598,Yancey,17805,17928,18909,20114,21381,22650
