County NS Code,County,2010,2015,2020,2025,2030
1034210,Adams,2343,2396,2390,2364,2317
1034225,Barnes,11066,11167,11227,11271,11263
1034216,Benson,6660,6859,7185,7577,8075
1035616,Billings,783,931,1034,1116,1179
1034227,Bottineau,6429,6699,6904,7085,7200
1035619,Bowman,3151,3268,3437,3614,3750
1034235,Burke,1968,2312,2610,2888,3098
1035614,Burleigh,81308,92903,100986,107205,110932
1034226,Cass,149778,171588,188810,203784,214719
1035304,Cavalier,3993,3822,3720,3672,3643
1035622,Dickey,5289,5119,5036,5010,5031
1034234,Divide,2071,2529,2866,3174,3414
1035623,Dunn,3536,4619,5437,6147,6654
1034222,Eddy,2385,2374,2379,2414,2455
1035615,Emmons,3550,3391,3299,3259,3232
1034223,Foster,3343,3370,3384,3409,3434
1035617,Golden Valley,1680,1863,2010,2155,2270
1034218,Grand Forks,66861,71328,76955,82966,89081
1035300,Grant,2394,2349,2299,2258,2207
1034219,Griggs,2420,2295,2196,2114,2039
1034209,Hettinger,2477,2706,2873,3034,3178
1034206,Kidder,2435,2422,2402,2378,2355
1035621,LaMoure,4139,4153,4108,4061,4002
1035620,Logan,1990,1932,1927,1972,2033
1035305,McHenry,5395,6141,6675,7130,7461
1034211,McIntosh,2809,2804,2775,2760,2751
1035299,McKenzie,6360,12193,16568,20480,23492
1034232,McLean,8962,9737,10332,10870,11275
1034233,Mercer,8424,8819,9059,9215,9283
1034207,Morton,27471,30418,32712,34670,36006
1035307,Mountrail,7673,10314,12364,14191,15587
1034217,Nelson,3126,3028,2947,2881,2828
1034205,Oliver,1846,1850,1875,1918,1973
1034212,Pembina,7413,7052,6758,6494,6267
1034230,Pierce,4357,4415,4475,4555,4641
1034215,Ramsey,11451,11587,11734,11877,12007
1035301,Ransom,5457,5445,5410,5403,5408
1034229,Renville,2470,2613,2715,2817,2911
1035302,Richland,16321,16478,16723,17058,17406
1034228,Rolette,13937,14765,15628,16521,17556
1035303,Sargent,3829,3961,4084,4212,4288
1034203,Sheridan,1321,1330,1336,1331,1316
1034208,Sioux,4153,4478,4834,5228,5682
1035896,Slope,727,774,807,830,847
1035618,Stark,24199,31919,37462,42117,45329
1034220,Steele,1975,1948,1924,1905,1882
1034224,Stutsman,21100,21139,21207,21314,21379
1034213,Towner,2246,2324,2398,2474,2527
1034221,Traill,8121,8065,8031,8039,8064
1034214,Walsh,11119,10925,10803,10755,10749
1034231,Ward,61675,71243,79053,86157,91644
1034204,Wells,4207,4187,4143,4120,4109
1035306,Williams,22398,34583,44039,52628,59276
