County NS Code,County,2010,2015,2020,2025,2030
835823,Adams,31364,31526,31662,31781,31779
835824,Antelope,6685,6390,6068,5709,5333
835825,Arthur,460,457,445,429,411
835826,Banner,690,665,636,597,558
835827,Blaine,478,455,430,405,378
835828,Boone,5505,5211,4969,4713,4442
835991,Box Butte,11308,11068,10768,10384,10014
835829,Boyd,2099,1958,1832,1712,1591
835830,Brown,3145,2978,2814,2623,2454
835831,Buffalo,46102,48155,49551,51500,53143
835832,Burt,6858,6522,6165,5773,5396
835833,Butler,8395,8261,8104,7941,7738
835834,Cass,25241,25555,25774,25836,25818
835835,Cedar,8852,8372,7954,7506,7055
835836,Chase,3966,3931,3870,3765,3638
835837,Cherry,5713,5509,5278,4988,4675
835838,Cheyenne,9998,10182,10251,10233,10178
835839,Clay,6542,6329,6078,5786,5491
835840,Colfax,10515,10352,10153,9884,9612
835841,Cuming,9139,8738,8321,7869,7451
835842,Custer,10939,10762,10537,10175,9859
835843,Dakota,21006,21524,21975,22361,22639
835844,Dawes,9182,9220,9301,9458,9679
835845,Dawson,24326,24492,24661,24845,25002
835846,Deuel,1941,1910,1862,1778,1711
835847,Dixon,6000,5813,5588,5361,5085
835848,Dodge,36691,37201,37615,37674,37527
835849,Douglas,517110,544083,571311,598220,625173
835850,Dundy,2008,1888,1778,1679,1570
835851,Fillmore,5890,5515,5231,4938,4647
835852,Franklin,3225,3115,3011,2903,2785
835853,Frontier,2756,2732,2683,2621,2484
835854,Furnas,4959,4787,4631,4473,4312
835855,Gage,22311,22297,22224,22055,21798
835856,Garden,2057,1987,1932,1843,1743
835857,Garfield,2049,1951,1861,1772,1701
835858,Gosper,2044,2008,1960,1887,1821
835859,Grant,614,593,567,536,488
835860,Greeley,2538,2492,2427,2350,2244
835861,Hall,58607,59395,59911,60148,60271
835862,Hamilton,9124,9031,8944,8800,8627
835863,Harlan,3423,3318,3230,3113,2984
835864,Hayes,967,923,889,838,782
835865,Hitchcock,2908,2860,2802,2692,2576
835866,Holt,10435,9955,9494,8971,8407
835867,Hooker,736,690,657,634,608
835868,Howard,6274,6206,6135,5959,5781
835869,Jefferson,7547,7456,7293,7066,6803
835870,Johnson,5217,5182,5111,5004,4836
835871,Kearney,6489,6300,6084,5795,5479
835872,Keith,8368,8307,8160,7908,7583
835873,Keya Paha,824,766,716,657,603
835874,Kimball,3821,3780,3715,3618,3456
835875,Knox,8701,8422,8148,7856,7579
835876,Lancaster,285407,302423,320528,340761,361534
835877,Lincoln,36288,36462,36418,36220,35960
835878,Logan,763,760,748,721,701
835879,Loup,632,605,573,541,498
835881,McPherson,539,534,520,500,480
835880,Madison,34876,35316,35686,35775,35627
835882,Merrick,7845,7855,7822,7717,7535
835883,Morrill,5042,4903,4703,4478,4220
835884,Nance,3735,3699,3635,3551,3441
835885,Nemaha,7248,7161,7120,7103,7083
835886,Nuckolls,4500,4347,4170,3961,3766
835887,Otoe,15740,15669,15614,15546,15443
835888,Pawnee,2773,2641,2517,2417,2308
835889,Perkins,2970,2925,2865,2779,2674
835890,Phelps,9188,8853,8554,8262,7979
835891,Pierce,7266,6983,6701,6395,6071
835892,Platte,32237,32345,32413,32422,32359
835893,Polk,5406,5280,5131,4977,4831
835894,Red Willow,11055,10756,10450,10073,9675
835895,Richardson,8363,7957,7563,7142,6688
835896,Rock,1526,1457,1373,1275,1174
835897,Saline,14200,14203,14316,14450,14521
835898,Sarpy,158840,177697,196701,214981,233688
835899,Saunders,20780,20913,20935,20866,20769
835900,Scotts Bluff,36970,37203,37296,37115,36816
835901,Seward,16750,16686,16716,16755,16737
835902,Sheridan,5469,5216,4948,4665,4373
835903,Sherman,3152,3062,2969,2850,2733
835904,Sioux,1311,1268,1205,1133,1058
835905,Stanton,6129,6058,5916,5705,5455
835906,Thayer,5228,4877,4547,4231,3928
835907,Thomas,647,614,578,541,507
835908,Thurston,6940,6914,6784,6590,6356
835909,Valley,4260,4170,4053,3905,3750
835910,Washington,20234,20489,20695,20841,20899
835911,Wayne,9595,9502,9773,10032,10331
835912,Webster,3812,3681,3588,3498,3369
835913,Wheeler,818,790,763,731,683
835914,York,13665,13339,12997,12536,11968
