County NS Code,County,2010,2015,2020,2025,2030
873174,Belknap,60088,60407,61340,62330,63333
873175,Carroll,47818,47968,48239,48858,49792
873176,Cheshire,77117,77345,77653,78002,78315
873177,Coos,33055,33652,32389,31206,30059
873178,Grafton,89118,89418,91099,92815,94829
873179,Hillsborough,400721,404295,409478,416445,424492
873180,Merrimack,146445,147780,150434,154459,159899
873181,Rockingham,295223,300575,307013,321441,325474
873182,Strafford,123143,125334,128801,136472,139738
873183,Sullivan,43742,43727,43462,44246,44549
