County NS Code,County,2010,2015,2020,2025,2030
882270,Atlantic,274549,270042,265535,258482,251428
882271,Bergen,905116,930453,955790,976313,996835
882272,Burlington,448734,448870,449006,448359,447711
882273,Camden,513657,511793,509929,509261,508592
882274,Cape May,97265,95019,92773,90684,88595
882275,Cumberland,156898,154379,151859,149246,146633
882276,Essex,783969,795246,806523,818338,830153
882277,Gloucester,288288,291432,294576,297208,299839
882278,Hudson,634266,665385,696504,720549,744593
882228,Hunterdon,128349,125697,123045,120948,118850
882229,Mercer,366511,369015,371519,371898,372277
882230,Middlesex,809860,829039,848217,861942,875667
882910,Monmouth,630380,626538,622695,618355,614014
882231,Morris,492276,495752,499228,499950,500672
882279,Ocean,576567,589848,603128,616045,628961
882232,Passaic,501226,506449,511671,516134,520597
882233,Salem,66083,63858,61632,59353,57073
882234,Somerset,323444,330209,336973,340852,344731
882236,Sussex,149265,144289,139313,135222,131131
882235,Union,536499,551005,565511,577873,590235
882237,Warren,108692,107449,106206,105624,105041
