County NS Code,County,2010,2015,2020,2025,2030
1702363,Bernalillo,662564,679810,715115,740500,763571
929108,Catron,3725,3602,3333,3109,2875
1702364,Chaves,65645,66168,68856,70083,71403
933051,Cibola,27213,27590,28647,28875,29030
929117,Colfax,13750,12917,12323,12114,11893
933053,Curry,48376,50560,53402,54849,56339
933054,De Baca,2022,1902,1877,1776,1687
929109,Doña Ana,209233,216577,232946,244455,255070
936829,Eddy,53829,57372,57913,58220,58547
915980,Grant,29514,29288,28505,27449,26407
929111,Guadalupe,4687,4471,4642,4555,4468
933055,Harding,695,692,634,587,545
929106,Hidalgo,4894,4582,4612,4333,4072
1702365,Lea,64727,70881,75784,77308,78992
929116,Lincoln,20497,19954,19800,19145,18455
1702366,Los Alamos,17950,17905,17675,17326,17092
933057,Luna,25095,24806,25283,25021,24795
929107,McKinley,71492,75397,76435,76604,76623
1702367,Mora,4881,4714,4645,4424,4210
929104,Otero,63797,64656,65884,65606,65304
929110,Quay,9041,8581,8213,7997,7797
1702368,Rio Arriba,40246,39752,41212,40649,40041
1702369,Roosevelt,19846,19639,21325,21896,22328
929113,Sandoval,131561,138928,148708,163767,180269
936844,San Juan,130044,123979,128162,131278,134446
929114,San Miguel,29393,28264,28754,27843,26753
933322,Santa Fe,144170,148238,151767,157104,162782
1702370,Sierra,11988,11466,10602,9964,9357
1702371,Socorro,17866,17465,18164,17922,17616
933056,Taos,32937,33287,33299,33309,33172
929112,Torrance,16383,15731,15482,15424,15324
929115,Union,4549,4370,4512,4501,4491
933052,Valencia,76569,76312,78669,79574,82721
