County NS Code,County,2010,2015,2020,2025,2030
863219,Carson City,55850,54199,56358,57959,58961
858638,Churchill,26360,25104,26377,28289,30292
863600,Clark,1968831,2095843,2220886,2316752,2373115
858643,Douglas,49242,48568,49280,50056,50486
857664,Elko,52097,52980,52052,52411,53126
858641,Esmeralda,1145,963,985,882,785
858640,Eureka,1609,1929,2074,2220,2333
863310,Humboldt,18364,17169,16079,15248,15131
863368,Lander,5992,6545,5979,5587,5511
863992,Lincoln,4631,4963,4753,4577,4506
858645,Lyon,52334,54078,57440,60185,62115
858644,Mineral,4471,4610,4873,5235,5585
863599,Nye,45459,45277,44615,44862,45400
858646,Pershing,7133,6743,6775,6897,7213
858642,Storey,4234,4044,4464,4796,4973
858608,Washoe,417379,440938,470557,493776,508510
858615,White Pine,9503,10123,9338,8584,8015
