County NS Code,County,2010,2015,2020,2025,2030
974099,Albany,304204,308598,312945,317719,322394
974100,Allegany,48946,47372,46355,45445,44580
974101,Bronx,1385108,1460412,1519809,1567988,1604168
974102,Broome,200600,196292,192262,189264,186950
974103,Cattaraugus,80317,78006,76381,74825,73254
974104,Cayuga,80026,78319,77069,75860,74724
974105,Chautauqua,134905,130756,126497,122691,119116
974106,Chemung,88830,87030,85213,83527,81922
974107,Chenango,50477,48799,47099,45659,44197
974108,Clinton,82128,81032,80955,81119,81292
974109,Columbia,63096,61549,59939,58578,57200
974110,Cortland,49336,48294,47544,47089,46693
974111,Delaware,47980,45948,44419,43224,42076
974112,Dutchess,297488,295309,292936,291615,290338
974113,Erie,919040,924122,936084,945162,949073
974114,Essex,39370,38196,37418,36792,36175
974115,Franklin,51599,50609,50149,49730,49442
974116,Fulton,55531,53853,52965,52121,51294
974117,Genesee,60079,58591,57756,56956,56077
974118,Greene,49221,47649,46779,46180,45392
974119,Hamilton,4836,4704,4648,4607,4531
974120,Herkimer,64519,62688,61970,61185,60367
974121,Jefferson,116229,116301,115134,114282,114290
974122,Kings,2504700,2643546,2738283,2810876,2863996
974123,Lewis,27087,26836,26688,26472,26156
974124,Livingston,65393,64514,64054,63834,63726
974125,Madison,73442,71718,69989,68591,67257
974126,Monroe,744344,748504,754529,758294,758536
974127,Montgomery,50219,49556,49428,49266,49081
974128,Nassau,1339532,1362858,1386500,1410875,1432859
974129,New York,1585873,1657183,1688894,1709958,1727631
974130,Niagara,216469,212540,209940,206972,202950
974131,Oneida,234878,232014,203608,229195,227622
974132,Onondaga,467026,468233,467461,466070,463795
974133,Ontario,107931,109431,111349,113195,114374
974134,Orange,372813,377544,384125,391144,397598
974135,Orleans,42883,41512,40529,39735,38967
974136,Oswego,122109,119899,117646,115480,113027
974137,Otsego,62259,60676,59778,59325,59008
974138,Putnam,99710,99473,99274,99600,100199
974139,Queens,2230722,2346005,2436549,2508764,2565268
974140,Rensselaer,159429,159850,161140,161987,161946
974141,Richmond,468730,475313,481351,486008,488119
974142,Rockland,311687,325655,336544,346928,356758
977309,St. Lawrence,111944,110803,109022,107183,105223
974143,Saratoga,219607,226551,234009,240977,246743
974144,Schenectady,154727,155089,156103,157135,157575
974145,Schoharie,32749,31463,31023,30758,30536
974146,Schuyler,18343,18020,17867,17834,17709
974147,Seneca,35251,34811,34724,34667,34487
974148,Steuben,98990,97495,95343,93428,91632
974149,Suffolk,1493350,1498947,1497391,1494816,1488885
974150,Sullivan,77547,75136,74968,74879,74720
974151,Tioga,51125,49323,47864,46396,45090
974152,Tompkins,101564,104283,105836,107717,109051
974153,Ulster,182493,179952,179009,178203,176893
974154,Warren,65707,64448,64085,63844,63490
974155,Washington,63216,62253,61455,60759,60237
974156,Wayne,93772,91359,89564,88173,86754
974157,Westchester,949113,976103,996039,1016760,1037234
974158,Wyoming,42155,40957,40057,39318,38647
974159,Yates,25348,25065,24787,24720,24706
