County NS Code,County,2010,2015,2020,2025,2030
1074014,Adams,28550,28410,28380,28210,28100
1074015,Allen,106331,104790,103560,102420,101450
1074016,Ashland,53139,53620,53980,54870,55790
1074017,Ashtabula,101497,97810,95160,92510,89760
1074018,Athens,64757,65990,66720,66710,66320
1074019,Auglaize,45949,45780,45590,45150,44690
1065575,Belmont,70400,69760,68880,68270,67330
1074020,Brown,44846,43700,42350,41100,40070
1074021,Butler,368130,378370,390110,399880,410960
1074022,Carroll,28836,27450,26530,25650,24880
1074023,Champaign,40097,38950,38090,37450,36840
1074024,Clark,138333,135490,133240,131390,129900
1074025,Clermont,197363,203650,208330,212110,214090
1074026,Clinton,42040,42160,42100,42060,41590
1074027,Columbiana,107841,106660,105380,104370,103870
1074028,Coshocton,36901,36650,36190,35660,34790
1074029,Crawford,43784,42300,40890,39500,38150
1074030,Cuyahoga,1280122,1242380,1209550,1179030,1154210
1074031,Darke,52959,52190,51270,49670,48280
1074032,Defiance,39037,38590,38090,37200,36490
1074033,Delaware,174214,192990,210630,227930,246000
1074034,Erie,77079,75070,72900,70350,67740
1074035,Fairfield,146156,150960,157040,163300,170630
1074036,Fayette,29030,28880,28860,28780,28750
1074037,Franklin,1163414,1227560,1291320,1348980,1394980
1074038,Fulton,42698,42350,42200,41500,40740
1074039,Gallia,30934,29900,29010,28150,27510
1074040,Geauga,93389,93650,93510,94270,94930
1074041,Greene,161573,163500,164940,165950,165780
1074042,Guernsey,40087,39480,38750,38000,37310
1074043,Hamilton,802374,793980,790600,788420,785900
1074044,Hancock,74782,75130,75330,75620,75140
1074045,Hardin,32058,31850,31740,31490,31360
1074046,Harrison,15864,15660,15300,15210,15100
1074047,Henry,28215,27690,27230,26760,26360
1074048,Highland,43589,42990,41840,41530,41150
1074049,Hocking,29380,28470,27550,26600,26020
1074050,Holmes,42366,43610,44620,45230,45700
1074051,Huron,59626,59360,58740,57860,56950
1074052,Jackson,33225,32370,31600,30940,30670
1074053,Jefferson,69709,67780,66540,65580,65330
1074054,Knox,60921,60660,60270,60200,60650
1074055,Lake,230041,229530,228600,228320,228380
1074056,Lawrence,62450,60400,59100,57820,57070
1074057,Licking,166492,173520,180860,188810,196570
1074058,Logan,45858,45810,45600,45210,44590
1074059,Lorain,301356,306400,310230,315760,320430
1074060,Lucas,441815,435300,430450,425620,420080
1074061,Madison,43435,44510,45670,46510,47420
1074062,Mahoning,238823,231210,224680,218320,212240
1074063,Marion,66501,64540,63840,63110,62400
1074064,Medina,172332,179200,184670,190430,194510
1074065,Meigs,23770,23610,23630,23300,23170
1074066,Mercer,40814,40960,41040,41240,41230
1074067,Miami,102506,102700,102590,103160,103500
1074068,Monroe,14642,14420,14160,13900,13590
1074069,Montgomery,535153,524370,513830,504770,496650
1074070,Morgan,15054,14880,14770,14600,14360
1074071,Morrow,34827,34940,34870,34690,34540
1074072,Muskingum,86074,85790,85420,84870,83900
1074073,Noble,14645,14190,13960,13830,13790
1074074,Ottawa,41428,40860,40100,39420,38720
1074075,Paulding,19614,19270,19050,18570,18220
1074076,Perry,36058,35430,35210,35010,34840
1074077,Pickaway,55698,56690,58010,59120,60560
1074078,Pike,28709,28610,29000,29010,29420
1074079,Portage,161419,161500,161410,160780,158930
1074080,Preble,42270,41180,40420,39070,37540
1074081,Putnam,34499,34550,34430,34180,33860
1074082,Richland,124475,122180,120200,118190,116640
1074083,Ross,78064,76880,76000,75710,76010
1074084,Sandusky,60944,59960,58670,57040,55440
1074085,Scioto,79499,76050,73730,71550,69720
1074086,Seneca,56745,56030,55050,54030,53040
1074087,Shelby,49423,49450,49290,48780,48240
1065576,Stark,375586,371650,368210,364650,361130
1074088,Summit,541781,537220,534150,532080,528990
1074089,Trumbull,210312,205150,200840,197080,193360
1074090,Tuscarawas,92582,92520,92310,92060,91890
1074091,Union,52300,54140,57710,61050,64830
1074092,Van Wert,28744,28180,27620,26810,26190
1074093,Vinton,13435,13100,12680,12470,12350
1074094,Warren,212693,220430,225770,231230,235640
1074095,Washington,61778,60410,59000,57620,56220
1074096,Wayne,114520,114530,114390,113920,113400
1074097,Williams,37642,36890,36070,35040,34150
1074098,Wood,125488,129320,130870,132710,134280
1074099,Wyandot,22615,22330,21960,21530,21000
