County NS Code,County,2010,2015,2020,2025,2030
1101788,Adair,22683,23559,24442,25326,26209
1101789,Alfalfa,5642,5547,5404,5271,5147
1101790,Atoka,14182,14490,14910,15330,15749
1101791,Beaver,5636,5405,5274,5143,5012
1101792,Beckham,22119,22415,22849,23283,23716
1101793,Blaine,11943,9861,9814,9768,9721
1101794,Bryan,42416,44029,45741,47453,49166
1101795,Caddo,29600,30422,30448,30474,30500
1101796,Canadian,115541,124481,133468,142454,151440
1101797,Carter,47557,49083,50065,51046,52027
1101798,Cherokee,46987,50391,53350,56308,59267
1101799,Choctaw,15205,15117,14993,14868,14744
1101800,Cimarron,2475,2398,2301,2212,2129
1101801,Cleveland,255755,274277,294868,315459,336050
1101802,Coal,5925,6005,6030,6054,6079
1101803,Comanche,124098,126512,128373,130233,132094
1101804,Cotton,6193,6109,5985,5861,5737
1101805,Craig,15029,15012,14934,14856,14778
1101806,Creek,69967,72739,75823,78908,81992
1101807,Custer,27469,28427,28927,29428,29928
1101808,Delaware,41487,44636,47578,50521,53463
1101809,Dewey,4810,4637,4545,4459,4379
1383856,Ellis,4151,3905,3800,3703,3612
1101811,Garfield,60580,59754,59985,60217,60449
1101812,Garvin,27576,27307,27322,27337,27352
1101813,Grady,52431,54198,56561,58923,61286
1101814,Grant,4527,4458,4279,4114,3963
1101815,Greer,6239,5942,5779,5628,5488
1101816,Harmon,2922,2770,2629,2500,2383
1101817,Harper,3685,3505,3374,3254,3143
1101818,Haskell,12769,12804,13130,13455,13781
1101819,Hughes,14003,13481,13405,13329,13253
1101820,Jackson,26446,26488,25947,25406,24865
1101821,Jefferson,6472,6325,6153,5982,5810
1101822,Johnston,10957,11337,11601,11865,12130
1101823,Kay,46562,46536,46134,45732,45330
1101824,Kingfisher,15034,15107,15364,15621,15878
1101825,Kiowa,9446,9365,9096,8845,8612
1101826,Latimer,11154,11480,11764,12048,12332
1101827,Le Flore,50384,52335,54597,56860,59123
1101828,Lincoln,34273,35611,37260,38909,40558
1101829,Logan,41848,44046,46185,48324,50462
1101830,Love,9423,9974,10372,10769,11167
1101831,Major,7527,7594,7533,7472,7411
1101832,Marshall,15840,15858,16693,17529,18364
1101833,Mayes,41259,42906,45039,47172,49305
1101834,McClain,34506,36578,38671,40765,42858
1101835,McCurtain,33151,34176,34744,35312,35880
1101836,McIntosh,20252,20895,21808,22721,23634
1101837,Murray,13488,13525,13796,14067,14338
1101838,Muskogee,70990,73540,74732,75924,77115
1101839,Noble,11561,11733,11856,11979,12102
1101840,Nowata,10536,10560,10561,10562,10562
1101841,Okfuskee,12191,12205,12246,12286,12327
1101842,Oklahoma,718633,747465,772053,796642,821230
1101843,Okmulgee,40069,40159,40513,40867,41221
1101844,Osage,47472,49911,51745,53579,55413
1101845,Ottawa,31848,32044,32367,32690,33013
1101846,Pawnee,16577,17132,17781,18431,19081
1101847,Payne,77350,81125,84341,87557,90773
1101848,Pittsburg,45837,46767,47757,48747,49737
1101849,Pontotoc,37492,38552,39526,40501,41476
1101850,Pottawatomie,69442,72833,75911,78989,82067
1101851,Pushmataha,11572,11926,12190,12454,12718
1101852,Roger Mills,3647,3361,3268,3181,3101
1101853,Rogers,86905,91903,98672,105440,112208
1101854,Seminole,25482,24204,23883,23561,23240
1101855,Sequoyah,42391,43868,46274,48679,51084
1101856,Stephens,45048,45937,46702,47468,48234
1101857,Texas,20640,21486,22018,22550,23082
1101858,Tillman,7992,7817,7491,7191,6916
1101859,Tulsa,603403,626543,652183,677822,703461
1101860,Wagoner,73085,77516,83139,88762,94385
1101861,Washington,50976,51981,52929,53877,54824
1101862,Washita,11629,11350,11119,10904,10701
1101863,Woods,8878,8568,8341,8130,7933
1101864,Woodward,20081,20288,20761,21234,21707
