County NS Code,County,2010,2015,2020,2025,2030
1135845,Baker,16134,16322,15758,15562,15404
1155126,Benton,85579,80460,95818,101632,106498
1155127,Clackamas,375992,349558,428860,460657,490011
1135846,Clatsop,37039,36215,38687,39496,40079
1135847,Columbia,49351,47421,53212,56048,58580
1135848,Coos,63043,62667,63795,63895,63855
1155128,Crook,20978,19703,23528,24794,26565
1155129,Curry,22364,21960,23172,23524,23976
1155130,Deschutes,157733,136703,199793,220708,244018
1135849,Douglas,107667,104499,114003,115815,119212
1135850,Gilliam,1871,1907,1800,1771,1763
1135851,Grant,7445,7634,7067,6907,6771
1135852,Harney,7422,7445,7377,7381,7334
1155131,Hood River,22346,20614,25810,27442,29014
1135853,Jackson,203206,192319,224980,235066,246611
1155132,Jefferson,21720,20511,24139,25273,26375
1155133,Josephine,82713,79933,88274,90177,93194
1155134,Klamath,66380,65306,68528,69203,69545
1135854,Lake,7895,7715,8256,8329,8420
1135855,Lane,351715,340444,374258,384530,396195
1135856,Lincoln,46034,44532,49038,50632,51909
1135857,Linn,116672,111058,127900,134675,140871
1135858,Malheur,31313,31479,30981,30890,30799
1135859,Marion,315335,297940,350125,370099,388420
1135860,Morrow,11173,10595,12329,12615,12960
1135861,Multnomah,735334,691664,822675,866304,906904
1135862,Polk,75403,70599,85012,91761,98501
1135863,Sherman,1765,1796,1703,1679,1653
1135864,Tillamook,25250,24549,26652,27519,28247
1156673,Umatilla,75889,74488,78692,80737,82943
1164165,Union,25748,25416,26413,26700,26981
1155135,Wallowa,7008,7070,6885,6772,6695
1155136,Wasco,25213,24071,27497,28653,29798
1155137,Washington,529710,484897,619337,669669,718633
1135865,Wheeler,1441,1484,1355,1326,1299
1135866,Yamhill,99193,93239,111101,119339,127404
