County NS Code,County,2010,2015,2020,2025,2030
1213656,Adams,101423,102708,103993,105187,106380
1213657,Allegheny,1223840,1244880,1265919,1286787,1307654
1213658,Armstrong,68864,67807,66750,65866,64982
1214112,Beaver,170595,171472,172348,173350,174352
1209171,Bedford,49737,49900,50062,50044,50025
1209172,Berks,411791,425967,440143,455800,471457
1213659,Blair,127038,127950,128862,129541,130220
1213660,Bradford,62609,63358,64106,64959,65812
1209173,Bucks,625505,627463,629420,633575,637730
1213661,Butler,184053,187336,190619,194135,197650
1213662,Cambria,143484,144550,145615,146567,147518
1213663,Cameron,5070,4915,4759,4591,4422
1213664,Carbon,65204,64448,63692,62918,62144
1214720,Centre,154193,161188,168182,174165,180148
1209174,Chester,499739,516788,533837,553707,573576
1210234,Clarion,39934,40387,40840,41147,41453
1209175,Clearfield,81579,82282,82984,83204,83423
1214721,Clinton,39245,40601,41957,43465,44973
1213665,Columbia,67311,67535,67759,67841,67922
1213666,Crawford,88690,88446,88201,88179,88156
1209176,Cumberland,235938,243887,251836,259950,268063
1213667,Dauphin,268281,273894,279506,284319,289132
1209177,Delaware,559373,573905,588436,605372,622307
1213668,Elk,31857,31342,30826,30454,30081
1209178,Erie,280749,287587,294425,300151,305877
1209179,Fayette,136507,137132,137756,138869,139981
1213669,Forest,7699,7615,7531,7325,7118
1213670,Franklin,149908,153410,156911,161025,165139
1213671,Fulton,14863,14899,14934,15036,15138
1214033,Greene,38623,39327,40031,40369,40706
1213672,Huntingdon,45903,47552,49200,50753,52306
1213673,Indiana,88818,91765,94712,97234,99756
1213674,Jefferson,45224,45154,45084,45152,45220
1209180,Juniata,24548,24615,24681,24847,25013
1213675,Lackawanna,214411,218050,221688,225375,229062
1209181,Lancaster,520344,539796,559247,580700,602153
1213676,Lawrence,90964,90401,89837,89803,89768
1214034,Lebanon,133717,136495,139272,142468,145663
1209182,Lehigh,350093,358001,365909,375670,385431
1209183,Luzerne,320925,324407,327889,331045,334201
1213677,Lycoming,116159,117355,118551,119570,120589
1210235,McKean,43366,43923,44480,44790,45099
1213678,Mercer,116541,117481,118420,119867,121313
1213679,Mifflin,46660,47381,48102,48840,49578
1209184,Monroe,169981,172351,174721,177016.5,179312
1213680,Montgomery,801134,820009,838883,865376,891868
1213681,Montour,18301,18913,19524,20281,21037
1209185,Northampton,298065,303648,309231,315285,321338
1209186,Northumberland,94367,94924,95481,95373,95264
1213682,Perry,45993,47295,48597,49473,50348
1209187,Philadelphia,1528458,1591094,1653729,1703392,1753054
1213683,Pike,57311,56752,56192,55988,55783
1213684,Potter,17476,17793,18109,18391,18672
1213685,Schuylkill,148199,151438,154676,158174,161671
1213686,Snyder,39741,40590,41438,41797,42156
1209188,Somerset,77706,77200,76694,76481,76267
1213687,Sullivan,6416,6512,6608,6570,6531
1213688,Susquehanna,43348,42842,42335,41930,41525
1209189,Tioga,42009,42618,43227,43682,44136
1213689,Union,44942,46221,47499,48715,49931
1213690,Venango,54940,55124,55308,55412,55516
1213691,Warren,41756,41181,40605,40032,39459
1209190,Washington,207882,207412,206942,207004,207065
1213692,Wayne,52975,53243,53511,53270,53029
1209191,Westmoreland,365086,361830,358574,356436,354298
1209192,Wyoming,28261,28361,28460,28303,28146
1209193,York,435586,448050,460514,472506,484497
