County NS Code,County,2010,2015,2020,2025,2030,2035
1245666,Abbeville,25310,24775,24300,23710,23025,22195
1247979,Aiken,160531,165657,171320,175635,178735,180550
1247980,Allendale,10354,9420,8515,7630,6870,6160
1247981,Anderson,187109,193743,204570,214715,224750,234420
1247982,Bamberg,15956,14689,13780,12635,11525,10425
1247983,Barnwell,22637,21782,20655,19515,18395,17250
1247984,Beaufort,162846,179825,195910,213985,231950,248860
1247985,Berkeley,179420,203035,232400,261625,293125,326615
1247986,Calhoun,15094,14760,14290,13655,13060,12345
1252740,Charleston,350963,389299,418965,450895,480890,508730
1247987,Cherokee,55535,56511,57360,57960,58315,58350
1247988,Chester,33153,32395,32005,31280,30515,29625
1247989,Chesterfield,46624,46156,45485,44750,43765,42475
1247990,Clarendon,34950,33978,33295,32235,30940,29340
1247991,Colleton,38896,37452,37570,37320,36920,36285
1247992,Darlington,68521,67519,66255,64760,62970,60820
1247993,Dillon,32077,31165,30250,29325,28310,27160
1247998,Dorchester,137057,152854,166780,182255,198030,213820
1247999,Edgefield,26973,26767,27150,27370,27475,27425
1248000,Fairfield,23841,22878,22000,21005,19920,18640
1248001,Florence,137140,138740,137780,136405,134255,131405
1248002,Georgetown,60347,61483,62760,63805,64115,63515
1245489,Greenville,452672,490860,530905,573060,616105,659270
1248003,Greenwood,69788,70010,70960,71385,71575,71430
1248004,Hampton,21072,19966,18900,17805,16690,15545
1248005,Horry,270257,308956,370075,438825,517155,603675
1248006,Jasper,24931,27428,30185,33390,37060,40895
1248007,Kershaw,61706,63648,66685,69340,71845,74145
1248008,Lancaster,76972,86322,101970,119370,138925,160500
1248009,Laurens,66526,66474,67135,67415,67420,67055
1245652,Lee,19209,17798,16640,15425,14305,13175
1244251,Lexington,263334,281779,303605,324860,345560,365575
1248012,McCormick,10213,9661,9180,8565,7905,7135
1248010,Marion,32959,31767,30575,29300,27935,26450
1248011,Marlboro,28917,27574,25725,24050,22430,20820
1248013,Newberry,37610,37776,38840,39620,40325,40855
1244832,Oconee,74341,75888,79595,82490,84940,86830
1248014,Orangeburg,92320,89170,85250,80950,76480,71710
1248015,Pickens,119322,121521,126595,131255,135865,139525
1249299,Richland,385757,405992,420845,436420,451000,463530
1248016,Saluda,19915,20187,20680,20905,21055,21110
1248592,Spartanburg,284748,296580,323555,348085,373465,399415
1244717,Sumter,107612,107173,105740,103570,100870,97690
1248017,Union,28929,27736,27115,26370,25605,24705
1248018,Williamsburg,34347,32518,29630,27290,24955,22575
1248019,York,226865,250586,289590,329925,374385,423060
