County NS Code,County,2010,2015,2020,2025,2030
1639722,Anderson,75098,75456,77151,78500,79454
1639723,Bedford,45078,46948,50255,62364,67456
1639724,Benton,16511,16220,16220,16273,16221
1639725,Bledsoe,12884,14601,15017,15592,16009
1639726,Blount,123199,126954,133808,139287,143918
1639727,Bradley,99083,103774,108557,112852,116901
1639728,Campbell,40735,39772,39487,39055,38392
1648572,Cannon,13797,13740,14637,14985,15223
1639729,Carroll,28454,27982,27907,27512,27001
1639730,Carter,57342,56375,56091,55145,53880
1639731,Cheatham,39131,39593,40847,41665,42172
1639732,Chester,17194,17123,17324,17491,17595
1639733,Claiborne,32215,31555,31999,32461,32673
1648573,Clay,7844,7663,7749,7773,7734
1639734,Cocke,35640,35138,36026,36417,36532
1639735,Coffee,52770,54093,56435,58146,59652
1648574,Crockett,14588,14586,14320,14251,14140
1639736,Cumberland,56193,58217,61055,63995,66192
1639737,Davidson,627746,679793,705400,732649,756117
1639739,Decatur,11717,11600,11716,11683,11587
1639738,DeKalb,18695,19292,20450,21109,21645
1639740,Dickson,49684,51334,54606,57239,59554
1639741,Dyer,38318,37753,37395,37516,37493
1639742,Fayette,38427,39280,41565,43941,45897
1639743,Fentress,17923,17965,18346,18550,18595
1639744,Franklin,40959,41343,42099,42538,42774
1639745,Gibson,49731,49329,49257,49675,49934
1639746,Giles,29406,28973,29466,29259,28919
1648575,Grainger,22721,22848,23388,23832,24069
1639747,Greene,68834,68586,69515,70205,70472
1639748,Grundy,13725,13337,13209,12840,12395
1648576,Hamblen,62510,63353,65234,66747,68146
1639749,Hamilton,337214,353690,369802,382321,393428
1648577,Hancock,6798,6577,6491,6328,6127
1639750,Hardeman,27169,25817,25110,24761,24350
1639751,Hardin,26050,25754,25804,25731,25539
1639752,Hawkins,56870,56370,56615,56482,55948
1639753,Haywood,18812,18036,17106,16567,15971
1639754,Henderson,27788,28078,28010,28342,28543
1639755,Henry,32398,32127,32519,32767,32837
1639756,Hickman,24647,24373,25352,25951,26401
1648578,Houston,8451,8124,8324,8458,8549
1639757,Humphreys,18558,18157,18554,18675,18677
1639758,Jackson,11625,11534,11875,12085,12180
1639759,Jefferson,51714,53011,54900,56788,58295
1639760,Johnson,18286,17842,17748,17624,17396
1639761,Knox,432938,451297,473996,494503,513318
1639762,Lake,7827,7602,7360,7261,7154
1639763,Lauderdale,27721,26903,25828,25760,25596
1639764,Lawrence,41967,42592,44055,44637,44985
1639765,Lewis,12173,11875,12113,12135,12068
1639766,Lincoln,33382,33609,34411,35032,35524
1639767,Loudon,48710,50916,54454,57606,60311
1639768,Macon,22237,23076,24827,26154,27372
1639769,Madison,98249,97569,97792,98142,98267
1639770,Marion,28220,28397,28564,28424,28132
1639771,Marshall,30687,31590,34370,35965,37370
1639772,Maury,81172,87425,97412,104649,111303
1639773,McMinn,52176,52502,53780,54782,55514
1639774,McNairy,26066,25864,26001,26298,26435
1639775,Meigs,11792,11804,12461,12814,13054
1639776,Monroe,44610,45625,46989,48244,49089
1639777,Montgomery,173159,192398,214627,236050,257386
1648579,Moore,6330,6261,6454,6546,6602
1639778,Morgan,22019,21494,21754,22100,22300
1639779,Obion,31822,30561,30127,29682,29135
1639780,Overton,22092,22067,22352,22961,23423
1639781,Perry,7940,7852,8128,8278,8397
1648580,Pickett,5082,5139,5053,4967,4849
1639782,Polk,16813,16769,17070,17425,17673
1639783,Putnam,72549,75074,80596,84710,88436
1639784,Rhea,31858,32373,33479,34459,35285
1639785,Roane,54169,52770,53285,53386,53111
1639786,Robertson,66322,68687,72686,76586,80135
1639787,Rutherford,263708,298197,341000,381646,422589
1639788,Scott,22227,21893,22117,22212,22188
1652643,Sequatchie,14128,14641,15203,15951,16568
1639789,Sevier,89923,95417,100658,107095,112912
1639790,Shelby,928447,937067,940109,949181,956754
1639791,Smith,19126,19308,20190,20746,21147
1639792,Stewart,13348,13187,13669,13880,14008
1639793,Sullivan,156749,156199,158199,158824,158645
1639794,Sumner,161214,175326,193462,208748,223258
1639795,Tipton,61065,61533,62278,63763,64889
1648581,Trousdale,7874,8051,11211,11621,11953
1648582,Unicoi,18284,17819,17847,17982,18012
1648583,Union,19116,19159,19808,19984,19991
1648584,Van Buren,5569,5695,5759,5718,5627
1639796,Warren,39858,40262,41038,41320,41469
1639797,Washington,123384,126137,130745,135475,139510
1639798,Wayne,16985,16767,16474,16234,15926
1639799,Weakley,35044,33872,33243,33036,32691
1639800,White,25828,26342,27533,28492,29282
1639801,Williamson,184143,211605,244052,274604,304687
1639802,Wilson,114677,128536,147012,162498,177356
