County NS Code,County,2010,2015,2020,2025,2030
1383786,Anderson,58458,58408,58199,57842,57266
1383787,Andrews,14786,17952,22269,28026,35751
1383788,Angelina,86771,88868,90437,91751,92598
1383789,Aransas,23158,25302,27699,30331,33123
1383790,Archer,9054,8657,8344,8149,7932
1383791,Armstrong,1901,1942,1948,1955,1933
1383792,Atascosa,44911,48087,51831,56049,60113
1383793,Austin,28417,29394,30402,31327,32046
1383794,Bailey,7165,7413,7692,8003,8269
1383795,Bandera,20485,20830,21246,21573,21653
1383796,Bastrop,74171,80082,86105,92519,99211
1383797,Baylor,3726,3659,3624,3611,3604
1383798,Bee,31861,33099,34445,35632,36636
1383799,Bell,310235,332820,353629,375151,396782
1383800,Bexar,1714773,1897850,2093502,2297072,2502617
1383801,Blanco,10497,10988,11504,12021,12407
1383802,Borden,641,660,685,704,706
1383803,Bosque,18212,17952,17765,17523,17011
1383804,Bowie,92565,92594,92570,92270,91745
1383805,Brazoria,313166,343497,375869,412155,452517
1383806,Brazos,194851,209233,229410,250227,272470
1383807,Brewster,9232,9228,9133,8958,8730
1383808,Briscoe,1637,1593,1568,1528,1506
1383809,Brooks,7223,7213,7175,7109,6980
1383810,Brown,38106,38590,38923,39001,38774
1383811,Burleson,17187,17458,17718,18033,18223
1383812,Burnet,42750,45389,48196,51002,53458
1383813,Caldwell,38066,41044,44284,47589,50777
1383814,Calhoun,21381,22144,22840,23385,23741
1383815,Callahan,13544,13463,13456,13508,13579
1383816,Cameron,406220,418541,427881,434887,438143
1383817,Camp,12401,12863,13322,13797,14164
1383818,Carson,6182,5952,5799,5720,5685
1383819,Cass,30464,30486,30327,29920,29247
1383820,Castro,8062,7549,7103,6663,6229
1383821,Chambers,35096,38356,42320,47207,52605
1383822,Cherokee,50845,51614,52178,52498,52516
1383823,Childress,7041,7071,7062,7018,6985
1383824,Clay,10752,10260,9787,9254,8690
1383825,Cochran,3127,3189,3348,3470,3580
1383826,Coke,3320,3268,3215,3181,3150
1383827,Coleman,8895,8696,8478,8331,8247
1383828,Collin,782341,904421,1039369,1199276,1391461
1383829,Collingsworth,3057,3106,3210,3317,3383
1383830,Colorado,20874,21046,21273,21424,21322
1383831,Comal,108472,126054,147330,173540,204873
1383832,Comanche,13974,13521,13075,12530,11868
1383833,Concho,4087,4102,4147,4159,4130
1383834,Cooke,38437,39082,39727,40278,40626
1383835,Coryell,75388,76750,78317,80287,82198
1383836,Cottle,1505,1503,1510,1533,1559
1383837,Crane,4375,5190,6209,7386,8809
1383838,Crockett,3719,3887,4040,4144,4212
1383839,Crosby,6059,6235,6464,6653,6757
1383840,Culberson,2398,2319,2245,2151,2067
1383841,Dallam,6703,6943,7237,7534,7881
1383842,Dallas,2368139,2551029,2734111,2920069,3106298
1383843,Dawson,13833,13671,13592,13506,13483
1383844,DeWitt,20097,20855,21737,22558,23246
1383845,Deaf Smith,19372,18697,18143,17717,17360
1383846,Delta,5231,5299,5367,5371,5361
1383847,Denton,662614,771688,897953,1048765,1234110
1383848,Dickens,2444,2258,2174,2066,2002
1383849,Dimmit,9996,10769,11743,12886,14065
1383850,Donley,3677,3524,3410,3272,3118
1383851,Duval,11782,11824,11796,11627,11363
1383852,Eastland,18583,18411,18205,17892,17450
1383853,Ector,137130,158753,184841,216711,255418
1383854,Edwards,2002,1997,1991,1937,1909
1383855,El Paso,800647,839545,876120,909356,936697
1383856,Ellis,149610,163301,177721,193386,209581
1383857,Erath,37890,39471,41526,43590,45514
1383858,Falls,17866,17223,16603,16095,15663
1383859,Fannin,33915,34231,34597,34781,34694
1383860,Fayette,24554,25219,26086,26999,27749
1383861,Fisher,3974,3963,3985,3978,3951
1383862,Floyd,6446,6031,5786,5548,5330
1383863,Foard,1336,1270,1240,1223,1201
1383864,Fort Bend,585375,702044,840383,1007086,1203029
1383865,Franklin,10605,10730,10924,11032,11138
1383866,Freestone,19816,19847,19860,19822,19618
1383867,Frio,17217,18565,20023,21596,23163
1383868,Gaines,17526,19735,22121,24768,27881
1383869,Galveston,291309,322292,355196,390489,427028
1383870,Garza,6461,6615,6784,6959,7159
1383871,Gillespie,24837,25393,26191,27061,27718
1383872,Glasscock,1226,1290,1365,1437,1505
1383873,Goliad,7210,7485,7717,8023,8290
1383874,Gonzales,19807,20651,21347,22083,22724
1383875,Gray,22535,23242,24252,25483,26973
1383876,Grayson,120877,126409,131710,136645,140903
1383877,Gregg,121730,124043,125730,127034,127694
1383878,Grimes,26604,27755,28930,29944,30793
1383879,Guadalupe,131533,149395,170266,194538,221353
