County NS Code,County,2010,2015,2020,2025,2030
1448015,Beaver,6643,6710,7082,7408,7687
1455966,Box Elder,50067,52971,57479,60984,64263
1448017,Cache,113307,121855,133601,146338,158815
1448018,Carbon,21419,21164,22806,24343,25628
1448019,Daggett,1078,1113,1164,1232,1304
1448020,Davis,307625,336091,364813,385800,406046
1448021,Duchesne,18721,20821,22653,24277,25422
1448022,Emery,11012,10659,11094,11550,12000
1448023,Garfield,5171,5164,5516,5845,6147
1448024,Grand,9238,9757,10554,11182,11695
1448025,Iron,46221,49406,55056,59900,63898
1455158,Juab,10280,11071,13498,15789,17911
1448026,Kane,7116,7271,8165,8684,9152
1448027,Millard,12535,13104,13774,14403,15010
1448028,Morgan,9518,11080,13443,15613,17612
1448029,Piute,1555,1631,1645,1699,1781
1448030,Rich,2278,2353,2452,2535,2638
1448031,Salt Lake,1031697,1094650,1181471,1249961,1306414
1448032,San Juan,14771,15902,17116,17932,18620
1448033,Sanpete,27907,29088,31297,33696,36158
1448034,Sevier,20814,21238,23097,24494,25720
1448035,Summit,36562,39278,42829,46404,50558
1448036,Tooele,58358,63262,74293,83922,93258
1448037,Uintah,32760,37396,39740,42077,43981
1448038,Utah,518872,585694,679188,768346,861852
1448039,Wasatch,23652,28613,35713,42027,48168
1448040,Washington,138579,154602,186618,219019,251636
1448041,Wayne,2782,2725,2832,2985,3175
1448042,Weber,231833,242737,266440,286593,302764
