County NS Code,County,2010,2015,2020,2025,2030
1480091,Accomack,33164,33516,32754,31023.0,29292
1675170,Albemarle,99010,105051,111039,118378.5,125718
1673675,Alleghany,16250,15515,14950,14285.0,13620
1497770,Amelia,12690,12909,13088,13440.0,13792
1480095,Amherst,32353,32028,31831,31616.5,31402
1497238,Appomattox,14973,15455,15866,16304.0,16742
1480097,Arlington,207627,234678,249298,261818.5,274339
1480098,Augusta,73750,74881,75734,77884.5,80035
1673638,Bath,4731,4727,4377,4178.5,3980
1674818,Bedford,74898,77575,79241,81922.5,84604
1494613,Bland,6824,6684,6365,6203.5,6042
1674418,Botetourt,33148,33486,33387,33935.5,34484
1493961,Brunswick,17434,16930,16320,15682.5,15045
1497431,Buchanan,24098,22983,21120,19501.5,17883
1501502,Buckingham,17146,16988,16946,17200.5,17455
1674917,Campbell,54842,56167,55665,56495.0,57325
1480107,Caroline,28545,29792,30740,32780.5,34821
1480108,Carroll,30042,29283,29014,28796.5,28579
1480109,Charles City,7256,7331,6982,6961.5,6941
1492442,Charlotte,12586,12454,11929,11728.0,11527
1480111,Chesterfield,316236,333450,353841,375244.0,396647
1690562,Clarke,14034,14206,14509,14894.0,15279
1673664,Craig,5190,5192,5084,5052.0,5020
1497831,Culpeper,46689,48908,52422,56747.5,61073
1494109,Cumberland,10052,9989,9792,9948.5,10105
1497376,Dickenson,15903,15339,14267,13659.5,13052
1690739,Dinwiddie,28001,28753,28669,29571.0,30473
1480118,Essex,11151,10914,10725,10872.0,11019
1480119,Fairfax,1081699,1129330,1162504,1203264.5,1244025
1480120,Fauquier,65203,67898,71395,75046.5,78698
1494354,Floyd,15279,15430,15754,16136.5,16519
1494061,Fluvanna,25691,26162,26965,28611.5,30258
1494434,Franklin,56159,56373,56237,58295.5,60354
1480124,Frederick,78305,82623,90115,97361.5,104608
1494551,Giles,17286,17179,16892,16857.0,16822
1480126,Gloucester,36858,37072,37343,37762.0,38181
1674271,Goochland,21717,22277,23547,25124.5,26702
1501196,Grayson,15533,16087,15319,14510.0,13701
1480129,Greene,18403,19840,20348,21508.5,22669
1501122,Greensville,12243,11804,11340,11242.0,11144
1496705,Halifax,36241,35766,34389,33423.0,32457
1480132,Hanover,99863,104013,109244,114302.0,119360
1480133,Henrico,306935,320717,332103,347681.0,363259
1502770,Henry,54151,52822,50986,48875.0,46764
1673774,Highland,2321,2277,2258,2169.0,2080
1702378,Isle of Wight,35270,36438,38060,39941.5,41823
1480135,James City,67009,73325,78016,85113.0,92210
1480136,King and Queen,6945,7190,6953,6993.0,7033
1480137,King George,23584,24600,26429,28741.0,31053
1480138,King William,15935,16253,17167,18089.0,19011
1480139,Lancaster,11391,11297,10916,10684.0,10452
1496538,Lee,25587,25182,23718,23675.0,23632
1480141,Loudoun,312311,374451,430584,492696.0,554808
1494707,Louisa,33153,34244,36737,39348.0,41959
1492239,Lunenburg,12914,12435,12122,11793.5,11465
1494590,Madison,13308,13099,13299,13420.5,13542
1480145,Mathews,8978,8737,8665,8471.0,8277
1500747,Mecklenburg,32727,31608,30691,30109.0,29527
1480147,Middlesex,10959,11082,10897,11088.5,11280
1674630,Montgomery,94392,98121,100746,104424.0,108102
1500936,Nelson,15020,14993,14828,14839.0,14850
1480150,New Kent,18429,20468,23474,25789.0,28104
1480151,Northampton,12389,12176,11778,11363.5,10949
1480152,Northumberland,12330,12220,12047,11918.0,11789
1493928,Nottoway,15853,16261,15651,15531.0,15411
1494761,Orange,33481,34015,36119,38544.0,40969
1500440,Page,24042,23719,23838,23863.0,23888
1497999,Patrick,18490,18450,17682,17123.5,16565
1480157,Pittsylvania,63506,63255,61379,60951.0,60523
1674225,Powhatan,28046,28442,29909,31674.5,33440
1492359,Prince Edward,23368,23631,23272,24088.5,24905
1480160,Prince George,35725,37131,37613,38510.5,39408
1480161,Prince William,402002,443463,478134,524989.0,571844
1501465,Pulaski,34872,34841,34109,33628.5,33148
1673976,Rappahannock,7373,7308,7202,7219.5,7237
1480164,Richmond,9254,9119,9141,9173.5,9206
1480165,Roanoke,92376,93775,94145,95697.0,97249
1480166,Rockbridge,22307,22163,22636,22963.0,23290
1488970,Rockingham,76314,79134,82720,85938.0,89156
1497573,Russell,28897,28008,26738,25672.5,24607
1498172,Scott,23177,22759,21949,21455.0,20961
1673918,Shenandoah,41993,42228,43233,45108.5,46984
1500545,Smyth,32208,31417,30182,29271.5,28361
1480171,Southampton,18570,18551,17739,17725.0,17711
1480172,Spotsylvania,122397,128998,136192,147108.5,158025
1480173,Stafford,128961,140176,154093,168627.0,183161
1480174,Surry,7058,6819,6501,6391.5,6282
1690257,Sussex,12087,11887,11370,11013.5,10657
1497748,Tazewell,45078,44051,41428,40439.0,39450
1674058,Warren,37575,38829,40164,42108.5,44053
1498359,Washington,54876,54130,53918,54360.0,54802
1480179,Westmoreland,17454,17725,18047,18257.0,18467
1496656,Wise,41452,39943,37844,37122.0,36400
1501379,Wythe,29235,28743,28587,28689.0,28791
1480182,York,65187,69466,69582,72537.0,75492
