County NS Code,County,2010,2015,2020,2025,2030
1461757,Addison,36821,37010,37198,36964,36730
1461758,Bennington,37125,37410,37695,37583,37470
1461759,Caledonia,31227,31782,32336,32544,32752
1461760,Chittenden,156545,161118,165690,168704,171718
1461761,Essex,6306,6128,5949,5719,5489
1461762,Franklin,47746,49778,51810,53729,55647
1461763,Grand Isle,6970,7874,8777,9743,10708
1461764,Lamoille,24475,26337,28198,29919,31639
1461765,Orange,28936,29375,29813,29935,30056
1461766,Orleans,27231,27915,28598,28947,29296
1461767,Rutland,61642,61217,60791,59615,58439
1461768,Washington,59534,60360,61186,61779,62372
1461769,Windham,44513,45495,46477,46953,47429
1461770,Windsor,56670,57864,59057,59693,60328
