County NS Code,County,2010,2015,2020,2025,2030
1531601,Adams,18728,19410,19527,19631,19873
1533502,Asotin,21623,22010,20676,20993,21099
1513302,Benton,175177,188590,182154,184313,184639
1531932,Chelan,72453,75030,71955,74247,76109
1531341,Clallam,71404,72650,70840,69631,68463
1531820,Clark,425363,451820,472573,494459,511964
1513273,Columbia,4078,4090,3911,3753,3645
1529156,Cowlitz,102410,104280,103445,103429,102716
1531818,Douglas,38431,39990,38909,39863,40455
1531821,Ferry,7551,7710,7117,7076,7048
1531822,Franklin,78163,87150,87642,95607,103082
1533500,Garfield,2266,2260,2042,1958,1888
1531924,Grant,89120,93930,97208,101073,104184
1531823,Grays Harbor,72797,73110,69202,69369,69425
1513272,Island,78506,80600,74822,75077,74641
1531936,Jefferson,29872,30880,29602,29620,30002
1531933,King,1931249,2052800,2110642,2201575,2287911
1529223,Kitsap,251133,258200,246554,251510,255196
1531926,Kittitas,40915,42670,44406,45305,45768
1529219,Klickitat,20318,21000,19496,19158,18917
1531927,Lewis,75455,76660,75564,76000,75480
1514052,Lincoln,10570,10720,10128,10162,10092
1529221,Mason,60699,62200,60868,63538,65678
1531928,Okanogan,41120,41860,38857,38987,38845
1513274,Pacific,20920,21210,20454,20542,20414
1529157,Pend Oreille,13001,13240,12605,12775,12625
1529159,Pierce,795225,830120,819122,855408,881775
1531931,San Juan,15769,16180,14936,15183,15278
1531402,Skagit,116901,120620,118117,122207,127387
1529220,Skamania,11066,11430,11359,11811,11956
1529222,Snohomish,713335,757600,766672,804536,841391
1529225,Spokane,471221,488310,478146,490386,504409
1531930,Stevens,43531,44030,40837,40823,40375
1529226,Thurston,252264,267410,266796,280965,292608
1513275,Wahkiakum,3978,3980,3694,3537,3386
1531819,Walla Walla,58781,60650,58860,59098,59036
1529224,Whatcom,201140,209790,212944,222711,231842
1533501,Whitman,44776,47250,46357,45671,45243
1531929,Yakima,243231,249970,236345,241322,246914
