County NS Code,County,2010,2015,2020,2025,2030
1581060,Adams,20875,21410,22035,23120,24205
1581061,Ashland,16157,16100,16040,16200,16360
1581062,Barron,45870,46660,48055,49605,51155
1581063,Bayfield,15014,15360,15105,15100,15095
1581064,Brown,248007,254550,270720,285650,300580
1581065,Buffalo,13587,13500,13485,13530,13575
1581066,Burnett,15457,15425,16155,17125,18095
1581067,Calumet,48971,50315,54555,58010,61465
1581068,Chippewa,62415,63885,66155,67975,69795
1581069,Clark,34690,35580,37255,39005,40755
1581070,Columbia,56833,57585,61410,64745,68080
1581071,Crawford,16644,16600,16835,17235,17635
1581072,Dane,488073,505410,530620,555100,579580
1581073,Dodge,88759,88830,92035,94820,97605
1581074,Door,27785,27790,27890,28310,28730
1581075,Douglas,44159,44665,45660,46555,47450
1581076,Dunn,43857,45500,46440,47415,48390
1581077,Eau Claire,98736,101255,104095,106750,109405
1581078,Florence,4423,4255,4330,4445,4560
1581079,Fond Du Lac,101633,102885,105755,108485,111215
1581080,Forest,9304,9275,9695,10245,10795
1581081,Grant,51208,51735,52420,52865,53310
1581082,Green,36842,37350,39270,40790,42310
1581083,Green Lake,19051,19190,19240,19400,19560
1581084,Iowa,23687,23855,25035,26150,27265
1581085,Iron,5916,5620,5680,5850,6020
1581086,Jackson,20449,21130,21760,22585,23410
1581087,Jefferson,83686,85455,90120,93860,97600
1581088,Juneau,26664,27305,28130,29080,30030
1581089,Kenosha,166426,170700,181975,191635,201295
1581090,Kewaunee,20574,20505,21015,21525,22035
1581091,La Crosse,114638,118585,122100,125370,128640
1581092,Lafayette,16836,17040,17355,17555,17755
1581093,Langlade,19977,19765,19915,20210,20505
1581094,Lincoln,28743,28415,29170,30100,31030
1581095,Manitowoc,81442,80430,81400,82045,82690
1581096,Marathon,134063,136510,142200,146595,150990
1581097,Marinette,41749,41180,41925,42865,43805
1581098,Marquette,15404,16000,16315,16970,17625
1581099,Menominee,4232,4310,4565,4845,5125
1581100,Milwaukee,947735,963810,972610,974680,976750
1581101,Monroe,44673,46110,48600,50975,53350
1581102,Oconto,37660,38050,40620,43030,45440
1581103,Oneida,35998,35825,37265,38905,40545
1581104,Outagamie,176695,180995,191635,200630,209625
1581105,Ozaukee,86395,86050,89715,92535,95355
1581106,Pepin,7469,7490,7420,7405,7390
1581107,Pierce,41019,41800,43575,45005,46435
1581108,Polk,44205,44390,47680,50760,53840
1581109,Portage,70019,71905,73680,75130,76580
1581110,Price,14159,13700,13490,13360,13230
1581111,Racine,195408,197520,203560,208660,213760
1581112,Richland,18021,18110,18275,18435,18595
1581113,Rock,160331,162550,169130,174500,179870
1581114,Rusk,14755,14755,14440,14335,14230
1581833,St. Croix,84345,87990,96985,104450,111915
1581115,Sauk,61976,63750,68075,72175,76275
1581116,Sawyer,16557,16690,17070,17645,18220
1581117,Shawano,41949,42255,43590,45085,46580
1581118,Sheboygan,115507,115915,119890,123400,126910
1581119,Taylor,20689,21110,21575,21900,22225
1581120,Trempealeau,28816,29360,30725,31840,32955
1581121,Vernon,29773,30415,32085,33725,35365
1581122,Vilas,21430,21840,22535,23645,24755
1581123,Walworth,102228,103355,109365,116105,122845
1581124,Washburn,15911,16010,16795,17775,18755
1581125,Washington,131887,134490,144140,152810,161480
1581126,Waukesha,389891,392290,414820,434230,453640
1581127,Waupaca,52410,53400,54475,56220,57965
1581128,Waushara,24496,24705,25860,27180,28500
1581129,Winnebago,166994,169925,177050,183230,189410
1581130,Wood,74749,74540,74435,74370,74305
