County NS Code,County,2010,2015,2020,2025,2030
1696996,Barbour,16589,16968,16861,16928,16967
1550008,Berkeley,104169,111635,118838,125106,130787
1550009,Boone,24629,23263,22286,21935,21711
1550010,Braxton,14523,14460,14481,14432,14282
1558262,Brooke,24069,23348,22318,21828,21092
1550012,Cabell,96319,96653,96275,96509,96570
1696945,Calhoun,7627,7430,7224,7083,6899
1550014,Clay,9386,8905,8485,8021,7531
1689476,Doddridge,8202,8506,8417,8345,8201
1560095,Fayette,46039,44822,43581,42723,41526
1689673,Gilmer,8693,8320,8151,8052,7844
1697238,Grant,11937,11765,11601,11405,11228
1557518,Greenbrier,35480,35433,35310,34724,34006
1718644,Hampshire,23964,23331,23210,23029,22665
1560574,Hancock,30676,29844,29048,28348,27450
1718557,Hardy,14025,13904,13862,13879,13865
1718426,Harrison,69099,68570,68148,67453,66590
1559963,Jackson,29211,29158,29183,28891,28558
1550025,Jefferson,53498,56199,58009,59840,61456
1550026,Kanawha,193063,188207,183150,179749,177236
1550027,Lewis,16372,16447,16345,16182,15974
1550028,Lincoln,21720,21370,21068,20827,20339
1550029,Logan,36743,34514,32733,31870,31398
1718173,Marion,56418,56771,56713,56328,55548
1717539,Marshall,33107,32126,30773,30430,29630
1560254,Mason,27324,27005,26653,26415,26162
1689162,McDowell,22113,19698,17751,16459,15559
1557645,Mercer,62264,61043,59943,59395,58675
1717890,Mineral,28212,27413,27220,26867,26396
1550036,Mingo,26839,25249,23905,23171,22565
1550037,Monongalia,96189,103991,109410,114826,119394
1557702,Monroe,13502,13501,13367,13149,12780
1557950,Morgan,17541,17523,17696,17508,17073
1550040,Nicholas,26233,25547,25106,24734,24022
1717163,Ohio,44443,42893,41878,41061,39800
1550042,Pendleton,7695,7186,6738,6635,6350
1678557,Pleasants,7605,7609,7530,7523,7432
1550044,Pocahontas,8719,8561,8403,8249,8015
1558642,Preston,33520,33744,33793,33519,33177
1550046,Putnam,55486,56799,57818,57505,57123
1550047,Raleigh,78859,77433,76290,75335,74301
1550048,Randolph,29405,29174,28997,28724,28274
1689049,Ritchie,10449,9991,9761,9632,9436
1550050,Roane,14926,14430,14001,13767,13280
1557805,Summers,13927,13073,12749,12583,12254
1689856,Taylor,16895,16864,16846,16573,16252
1689423,Tucker,7141,6933,6821,6653,6362
1678706,Tyler,9208,8953,8868,8750,8466
1696800,Upshur,24254,24726,24902,24795,24601
1550056,Wayne,42481,40974,39851,39219,38817
1550057,Webster,9154,8732,8469,8241,7820
1717836,Wetzel,16583,15813,15434,15185,14491
1678877,Wirt,5717,5840,5820,5866,5802
1560558,Wood,86956,86254,85053,84622,83522
1550061,Wyoming,23796,22152,20936,20163,19262
