County NS Code,County,2010,2015,2020,2025,2030
1605066,Albany,36299,37956,39010,40390,41600
1605067,Big Horn,11668,11950,11890,11960,12060
1605068,Campbell,46133,49269,45650,44860,45090
1605069,Carbon,15885,15618,14840,14500,14290
1605070,Converse,13833,14299,13790,14010,14220
1605071,Crook,7083,7437,7540,7830,8110
1605072,Fremont,40123,40228,39430,39260,39410
1605073,Goshen,13249,13551,13380,13380,13410
1605074,Hot Springs,4812,4717,4520,4450,4400
1609191,Johnson,8569,8609,8520,8690,8880
1605075,Laramie,91738,97006,100160,104460,108500
1605076,Lincoln,18106,18738,19760,20710,21550
1605077,Natrona,75450,82123,78810,79350,80660
1605078,Niobrara,2484,2496,2360,2300,2260
1605079,Park,28205,28925,29530,30210,30900
1605080,Platte,8667,8797,8630,8810,8940
1605081,Sheridan,29116,29886,30570,31590,32550
1605082,Sublette,10247,10046,9760,9590,9650
1609192,Sweetwater,43806,44754,42640,41740,41390
1605083,Teton,21294,23016,23490,24430,25290
1605084,Uinta,21118,20770,20230,19890,19710
1605085,Washakie,8533,8280,7820,7620,7490
1605086,Weston,7208,7197,6950,6920,6900
